epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.3839415416591223,0.02,0.9651880507530234,0.8961542632704327,0.9638412908386144,0.8900267396882372
1,0.23434545188463715,0.02,0.9677982526302836,0.9347542195914305,0.9661908570725405,0.9280267185968754
2,0.22356477011836762,0.02,0.9686480957361718,0.927217131739257,0.9668099735433457,0.9204741752389393
3,0.2168221825084627,0.02,0.9703234274698005,0.937078181735669,0.9681135790315634,0.9299493101181664
4,0.21391419094258135,0.02,0.9715475604503785,0.9393029705606302,0.9694594844028794,0.9300313407540315
5,0.21113889826210502,0.02,0.9680759791354758,0.9358718735573848,0.9665061834738202,0.9291239226229414
6,0.2083179788784681,0.02,0.969056994606124,0.9378264234912457,0.9666830738940504,0.9310154011242227
7,0.2065581053808567,0.02,0.9696094567156832,0.9398734709803183,0.9668715006460347,0.9289275003811452
8,0.20460604727529189,0.02,0.9710356891377319,0.9412668890564242,0.9681097335876454,0.9319528769331782
9,0.20369974783443945,0.02,0.9705037360624021,0.9312853816192683,0.9678713160647265,0.9212566496859449
10,0.20238928006221446,0.019,0.9720325136555986,0.9421745237160389,0.9691864578846983,0.9315917758695462
11,0.200769750802613,0.019,0.9708237624506928,0.9392641443368573,0.9679943702701039,0.927362174377531
12,0.1999262190454895,0.019,0.9715317514031598,0.9451334445231726,0.968332769334892,0.9326550346437401
13,0.1986276432871819,0.019,0.9697769471618916,0.9347122245949852,0.966983018519658,0.921407317849658
14,0.19822882015368998,0.019,0.9715954148635808,0.9440997513657969,0.968417369101089,0.9333163169708086
15,0.19856646384280535,0.019,0.9740825625354635,0.9426906544385656,0.9706631083492279,0.9316646207393928
16,0.19790956122236364,0.019,0.9724448306979224,0.9395798206854074,0.9692710576508952,0.927841456484408
17,0.19696312087168824,0.019,0.9726909391086773,0.942416072643262,0.9693595028610102,0.9297245250534685
18,0.19650072468715457,0.019,0.9715189332567662,0.9250597297071097,0.9683096966713838,0.9160034886415516
19,0.19643954072806552,0.019,0.9700260464734716,0.9387634837162995,0.9671329908324617,0.9267366247795554
20,0.19494323602073452,0.01805,0.9736347819547844,0.9445554665592969,0.9697248200332247,0.9316450445018589
21,0.1948839655168836,0.01805,0.9708485442003869,0.9368616033216055,0.9672944994770196,0.9240589143631199
22,0.19469994694098908,0.01805,0.9712685521305469,0.9380282835149054,0.9683596874423184,0.928352513630605
23,0.1946595433818897,0.01805,0.970107228067297,0.9320837623282425,0.9669214914169693,0.9195891562594509
24,0.1941025037768636,0.01805,0.9738347450385227,0.9419058837429012,0.9708015443302775,0.9301535960406779
