epoch,loss,lr,train_balanced_accuracy,train_accuracy,valid_balanced_accuracy,valid_accuracy
0,1.5430105427118737,0.02,0.7791965666110703,0.7909739537381564,0.7746368261788925,0.7863011806946074
1,0.6632264721111989,0.02,0.8799774473009776,0.882952932601941,0.8768999379405562,0.8795829593316302
2,0.5266648622479021,0.02,0.91657949990207,0.9185507691127393,0.9118611363414991,0.9140371469999309
3,0.4636735538328726,0.02,0.9282348707957815,0.9303962560896084,0.9231111688874178,0.92553338396741
4,0.4287514247762875,0.02,0.9390413266757518,0.9403774598181749,0.9354708591193373,0.9368224815300698
5,0.40468277729402374,0.02,0.9464010859832934,0.9476236142544785,0.9414319160719596,0.9426569080991507
6,0.38674460550931494,0.02,0.9473256368561009,0.9485289040622962,0.9429642813494841,0.9445211627425257
7,0.3731352921545975,0.02,0.9509007877145306,0.9520081322643753,0.9449548834944482,0.9464544638541739
8,0.36457800724374967,0.02,0.9532316433026597,0.9542291610725383,0.9470487213208848,0.9484568114340952
9,0.3600787905257517,0.02,0.9553792126351384,0.9559591852391729,0.9497275250642325,0.9505972519505628
10,0.34822804533590485,0.019,0.9550352993801575,0.9555640799416931,0.9502730527202347,0.9508043913553821
11,0.34080960055974524,0.019,0.9568852272588775,0.9577237331696651,0.9497929942693066,0.9509424842919285
12,0.33979420422569034,0.019,0.9570638252886211,0.9576239978518547,0.9508838127886291,0.9517710419112062
13,0.34063130476343345,0.019,0.9559292458979454,0.9566304806475123,0.9494416899192952,0.950493682248153
14,0.32868216450758814,0.019,0.9576650650248552,0.9581687061260501,0.951996114575499,0.9525650762963473
15,0.3288695575214745,0.019,0.9576667293631684,0.9582837853389082,0.9509273746074711,0.9517710419112062
16,0.32421570523517335,0.019,0.957065356210894,0.9579155318577621,0.950822470650869,0.952357936891528
17,0.3271208635465367,0.019,0.9587687031576826,0.959001112432391,0.9524416754614607,0.95284126216944
18,0.3243433368487621,0.019,0.9577952829615339,0.9582530975488128,0.9517738996134892,0.9527031692328938
19,0.3229451904616018,0.019,0.9610155988139879,0.9612336491618397,0.9537081041813238,0.9542567147690395
20,0.3157171232728507,0.01805,0.9618513819036376,0.9622194944186582,0.9552127064431296,0.955672167368639
21,0.3159859074851659,0.01805,0.9608071153607455,0.9615098392726994,0.9529713427627646,0.9540495753642202
22,0.31431458784839306,0.01805,0.9596823069579989,0.9603705550654034,0.952347160922213,0.9533591106814887
23,0.3128749207248837,0.01805,0.961803621004351,0.9622118224711342,0.9542374058138512,0.954947179451771
24,0.31203081593738774,0.01805,0.9583524691700807,0.958740266216579,0.9505319109866635,0.9512531933991577
25,0.31113309067065326,0.01805,0.9613599087151297,0.9620315317043231,0.9530754134745651,0.9540840985983567
26,0.3096438632236691,0.01805,0.962301551829514,0.9627258429552341,0.954227367386336,0.9550162259200442
27,0.3071281363175609,0.01805,0.961739681668808,0.9623269016839925,0.9541085297430679,0.954947179451771
28,0.30528604984283464,0.01805,0.9609548580502383,0.9614791514826039,0.953412226473248,0.9542912380031762
29,0.30763567268379094,0.01805,0.9613343269993249,0.9620008439142276,0.9545224515239557,0.9556031209003659
30,0.302818726718895,0.0171475,0.963195390239227,0.9636579845793855,0.9558133768059978,0.9566733411585997
31,0.30021919227960564,0.0171475,0.9621918121779419,0.9625263723196134,0.9540219233320868,0.954947179451771
32,0.3014143288839519,0.0171475,0.961321125534514,0.9617208178296061,0.952483016710214,0.9532900642132155
33,0.3000464691655842,0.0171475,0.9614807452735795,0.9618589128850359,0.9537592242827275,0.9546019471104052
34,0.3030980325589969,0.0171475,0.9633396974754792,0.963811423529863,0.9542157037243553,0.9551543188565905
35,0.3001355777575275,0.0171475,0.9630652486990618,0.9634239901799071,0.9541529962361124,0.9551197956224539
36,0.2972366639713604,0.0171475,0.9632517939592138,0.9635083816026698,0.9547281037616003,0.9553269350272734
37,0.2988340986056593,0.0171475,0.9625145401871518,0.9628831178794737,0.953930050592313,0.9548781329834979
38,0.29424131655786917,0.0171475,0.9637043585323418,0.964072269745675,0.9551467314770057,0.956328108817234
39,0.29688647682741875,0.0171475,0.9646048965244367,0.9648548083931106,0.9557526412636312,0.95656977145619
40,0.2897798400225602,0.016290125,0.9641044777138388,0.9644980628332502,0.9549557551450982,0.9559483532417317
