epoch,loss,lr,train_accuracy,valid_accuracy
0,1.8815543138980866,0.036801717024638164,0.704096557318617,0.70574788924529
1,0.7977860462665559,0.036801717024638164,0.8225521646325227,0.8197839472034804
2,0.6056983196735383,0.036801717024638164,0.8763904081808237,0.8737602772554659
3,0.5171204400062561,0.036801717024638164,0.9032132512301144,0.8975777015816835
4,0.46850825190544126,0.036801717024638164,0.9202607309808549,0.9170814437930908
5,0.4263271027803421,0.036801717024638164,0.9309456209568056,0.9262618441912768
6,0.4007379311323166,0.036801717024638164,0.935386733201411,0.9289901559561996
7,0.3774737578630447,0.036801717024638164,0.9378203316085102,0.9289164178003908
8,0.3698293030261993,0.036801717024638164,0.9447605937324598,0.9347786011871843
9,0.3557382690906525,0.036801717024638164,0.9472638405788195,0.9352210301220367
10,0.3404952800273895,0.034961631173406255,0.9446294907879697,0.9322715038896877
11,0.3350610119104385,0.034961631173406255,0.954433532855627,0.9366589241603066
12,0.3271083748340607,0.034961631173406255,0.9565967314397152,0.9428529292482395
13,0.3137727397680282,0.034961631173406255,0.9546219933383316,0.9408988681193083
14,0.30823851346969594,0.034961631173406255,0.9580470577631379,0.9408251299634994
15,0.3012335258722305,0.034961631173406255,0.9598702080849547,0.9418205950669174
16,0.29883669078350056,0.034961631173406255,0.9619555642957519,0.9440696088190834
17,0.2961745047569274,0.034961631173406255,0.961341019243454,0.9423736312354828
18,0.2877652934193613,0.034961631173406255,0.9630453575218265,0.9455075028573535
19,0.28222350597381585,0.034961631173406255,0.9663270281010968,0.9474615639862848
20,0.2778272125124932,0.03321354961473594,0.9688015961783493,0.9470191350514323
21,0.27158755362033826,0.03321354961473594,0.9678019362266115,0.9453600265457361
22,0.2733752581477166,0.03321354961473594,0.965880458696427,0.943811525273753
23,0.27151431381702434,0.03321354961473594,0.9700675589860825,0.945544371935258
24,0.2676061490178108,0.03321354961473594,0.9679944936763314,0.9432953581830917
25,0.2644942981004715,0.03321354961473594,0.9699651348106997,0.9448069903771708
26,0.2597240942716598,0.03321354961473594,0.9693956563955703,0.9448807285329793
27,0.2524918621778488,0.03321354961473594,0.9695923108123057,0.9415256424436825
28,0.25596665769815435,0.03321354961473594,0.9723659574816764,0.9441433469748922
29,0.24956919610500336,0.03321354961473594,0.9710795098388663,0.9454706337794492
