epoch,loss,lr,train_balanced_accuracy,train_logloss,train_accuracy,valid_balanced_accuracy,valid_logloss,valid_accuracy
0,1.2226905699802626,0.02,0.8553754170359686,0.31853329839420197,0.8882167596690398,0.8545601264630663,0.32270211210820676,0.8878896410579344
1,0.46924714844323034,0.02,0.9315796320209437,0.16536100135497822,0.9469602218062869,0.9293682280601834,0.17140620766923242,0.9453616971032746
2,0.3850513358554498,0.02,0.9451400853286388,0.13513537100879705,0.957354111637833,0.9419273129821296,0.14162379527640037,0.9548665774559194
3,0.35467706279904304,0.02,0.9563287338932527,0.112719689197847,0.9659331432469782,0.9544375629529224,0.1181157383068974,0.9646076039042821
4,0.3279185924562104,0.02,0.9621839488809001,0.09588641702220525,0.9706014833732748,0.9604479756090293,0.10054565608191782,0.969527314231738
5,0.31683442237131254,0.02,0.9650188597161027,0.08831021817102735,0.973139005020379,0.9610636125779144,0.09451276806321257,0.9704128620906802
6,0.3073814328876845,0.02,0.9650837192145273,0.08623797720849102,0.9730012507215701,0.9622748153476554,0.09204302399083067,0.9712098551637279
7,0.3018414749692908,0.02,0.9690528963620372,0.07867791420179279,0.9762045848129166,0.966046910666452,0.08407864321325897,0.9741420025188916
8,0.2922314052624552,0.02,0.9702534372993509,0.0760702815528371,0.9769840992180804,0.965796191803698,0.08300490670007388,0.9739452141057934
9,0.28757423109003255,0.02,0.9713008329116838,0.07570069107778016,0.977400641978764,0.9686691401710614,0.08231321278130693,0.9755195214105793
10,0.2830642435048193,0.019,0.9713299040359299,0.07621614337483337,0.9772038501233229,0.9690460132578718,0.08211957369157459,0.9757261492443325
11,0.280223975267111,0.019,0.9716956435810493,0.07628281502609043,0.9770792152815435,0.9690920518710728,0.0832209757796762,0.975312893576826
12,0.2790589672033026,0.019,0.97002941879922,0.07391030121946554,0.9773022460510434,0.966481107755816,0.08111985527608666,0.9749291561712846
13,0.2763720506910787,0.019,0.9719897808334788,0.07142074581514067,0.9782359140763027,0.9675488125387284,0.07939995016077009,0.9752636964735516
14,0.27378518825956516,0.019,0.9732548556907533,0.07173890217950805,0.9788798607588294,0.970741744693605,0.07757574773864692,0.9770741498740554
15,0.27021909909398034,0.019,0.9742606993209499,0.06743979857777799,0.9798517938670911,0.971646670371015,0.07344696717039588,0.9781466467254408
16,0.27065015099775613,0.019,0.9746170862798921,0.06698240758427174,0.9799370703377823,0.9711161235523447,0.0746708904305754,0.977556281486146
17,0.2697461332975481,0.019,0.9730172804827927,0.0665370276283608,0.9791181975615303,0.969342689667478,0.07466828612992962,0.9767297701511336
18,0.2627934957833566,0.019,0.9747417089863154,0.06732010508098232,0.9800770112127626,0.9715477601153429,0.07325788365999528,0.977890821788413
19,0.26422065336073436,0.019,0.974376729878515,0.06619292591883834,0.97967577448528,0.9722583577630002,0.07236628390897112,0.978353274559194
20,0.2602783018564431,0.01805,0.9768055943944262,0.05949130270100079,0.9819334143824234,0.9743304439499338,0.06531904686943635,0.9802326039042821
21,0.25752682703225616,0.01805,0.9773153392020717,0.05894253454680838,0.9821914303706685,0.9751706444521064,0.06544844789435462,0.980685217254408
22,0.25769214358832254,0.01805,0.977724212132173,0.05948361866114506,0.9823215316528766,0.9760363607689111,0.06639865916907652,0.9813149401763224
23,0.25584235139224576,0.01805,0.9784652853465244,0.06008544513944617,0.9828976944740847,0.9755737512282754,0.06553112071521235,0.9809410421914357
24,0.2554565805758063,0.01805,0.9773280662726379,0.05797903517146995,0.9823237182290482,0.9741467765151712,0.06596382346218967,0.9802719615869018
25,0.2527148933421333,0.01805,0.9764167765467956,0.05940835920503332,0.9818503244879039,0.9731170567163019,0.0673420170717354,0.9795044867758187
26,0.25030504862021974,0.01805,0.9774438086922099,0.057512418930673076,0.9824199275805972,0.975025254024187,0.06382304176896417,0.9805671442065491
27,0.2523670947605186,0.01805,0.9777191111045161,0.057243746486247686,0.9825500288628055,0.9748875067808703,0.06350735835924459,0.9805966624685138
28,0.2547906961275323,0.01805,0.9788452830727905,0.057043389312794984,0.9832901848968811,0.975336477352275,0.06426772222912269,0.9810787940806045
29,0.24956482729035104,0.01805,0.9777029949890035,0.05750102269211768,0.98239587524271,0.974130617760079,0.06526848697991482,0.9799866183879093
30,0.2469522252077479,0.0171475,0.9797928909374827,0.05532038900696282,0.9840128483215841,0.976388292206137,0.06188640968419254,0.9818757871536523
31,0.24551052576757867,0.0171475,0.9792640470210828,0.05727025870449754,0.983325170115626,0.9769106395610171,0.06389913269228488,0.9816593198992444
32,0.24646609754305784,0.0171475,0.9792337251427796,0.05672583228923306,0.9834213794671751,0.9765544521040298,0.06360698653402681,0.9814920497481108
33,0.24467359269413713,0.0171475,0.9795362594552235,0.0551302156618317,0.9836006787132436,0.9763804157585969,0.062012547354141676,0.9814330132241813
34,0.24483068808579125,0.0171475,0.9787445107033576,0.05708961101658029,0.983341569436913,0.9752345380612837,0.06421663255849898,0.9810886335012594
35,0.2458329518814258,0.0171475,0.97979769249752,0.053642289926996406,0.9839702100862386,0.976119287588873,0.06106299352579038,0.9814428526448362
36,0.2436792159561619,0.0171475,0.9786947931705828,0.05565856339259263,0.9834913499046651,0.9748026904425047,0.06375339402151821,0.9808820056675063
37,0.2424902664038098,0.0171475,0.9801160774787039,0.0530524924439468,0.9842008938723389,0.9762604695138032,0.06111757712731844,0.9813936555415617
38,0.24220745105112615,0.0171475,0.9788268071453459,0.05340496153993879,0.9836673692864766,0.974302271094243,0.06229188922662261,0.9806458595717884
39,0.2413521987039412,0.0171475,0.9786153342718857,0.055317043149118984,0.9832202144593909,0.9747455893125381,0.06349447058517757,0.9804982682619647
40,0.23908777053847977,0.016290125,0.9807348482896139,0.05082732937440782,0.984696153375199,0.9772274480215155,0.05797378444143515,0.9822988822418136
41,0.23951271784412487,0.016290125,0.9812534338077799,0.049145077191993645,0.9853925778858432,0.9772233279563988,0.05831799140429601,0.982702298488665
42,0.23741276281564225,0.016290125,0.9808221529447881,0.05220979695494661,0.9846578882921966,0.9763562069471133,0.05977267119806169,0.9816101227959697
43,0.24003170163374846,0.016290125,0.9785347129886145,0.05641351578210368,0.9830146762992636,0.975360323750259,0.06304066019132254,0.9809213633501259
44,0.24064965886920023,0.016290125,0.9765561294349993,0.05815024955169294,0.981733342662725,0.9728754838496916,0.06612445179038715,0.9791207493702772
45,0.23625544268186852,0.016290125,0.9803643242080682,0.05201156868916523,0.9847398848986304,0.9767850549762683,0.060014414963895875,0.9824366341309824
46,0.23929052883466798,0.016290125,0.9814251288687836,0.049286019622284113,0.9853094879913237,0.9769111770995098,0.05764545488439124,0.9822201668765743
47,0.23792095235110397,0.016290125,0.9803392231395963,0.05169815527189048,0.984594477583221,0.9776690937561705,0.05727833272286628,0.9827908532745592
48,0.24011969319106216,0.016290125,0.9799203786899515,0.053921643934341165,0.9839450644602655,0.9767605978649558,0.06097054125820012,0.9816002833753149
49,0.23723530121181044,0.016290125,0.9811721981004806,0.04984501127267229,0.9850788042052232,0.97845026297886,0.056805056630434586,0.9830663570528967
50,0.23637887761999138,0.015475618749999998,0.9808777329141478,0.05312468194121821,0.9846141567687652,0.9785935549197341,0.05891793295525597,0.983036838790932
51,0.2354462972670927,0.015475618749999998,0.9801208627055129,0.05179052400804368,0.9843572340686061,0.9770664300565209,0.05838833593021414,0.9823874370277077
52,0.2329110419670028,0.015475618749999998,0.9800880997912439,0.05056032494257294,0.9843933125754369,0.975594650336394,0.05826417909868943,0.9811870277078085
53,0.23397624739884262,0.015475618749999998,0.9784702201053638,0.054934889470405646,0.9831753896478738,0.9746855544822578,0.06198793809920226,0.9806163413098237
54,0.23048035386164628,0.015475618749999998,0.9816270610470159,0.049309322118517254,0.985484414085049,0.9773754390162243,0.057321063364887986,0.9825645465994961
55,0.23337506633168378,0.015475618749999998,0.9816174277158582,0.049558448873532224,0.9854166302237305,0.9774779651044876,0.05619083137131292,0.9824956706549118
56,0.23159396200703933,0.015475618749999998,0.9800674441598235,0.051514881951853435,0.9841943341438242,0.9760955205970525,0.059281043367837696,0.9814034949622166
57,0.23046596528703323,0.015475618749999998,0.9818202845203432,0.04826490756407303,0.9855740637080833,0.9783640529699746,0.05493244462168202,0.9831745906801007
58,0.231289189024891,0.015475618749999998,0.9811375568955212,0.050121738325425644,0.9849443297706718,0.9771191372865,0.05714090204148974,0.9820233784634761
59,0.23208195151502242,0.015475618749999998,0.981061462248637,0.04809013575902143,0.9851925061661448,0.9778964360110243,0.05559310814679944,0.9830171599496221
60,0.2293062097154925,0.014701837812499997,0.9804705555018938,0.05010244267385387,0.984680847341998,0.9749912278436952,0.05897319629419589,0.9809016845088161
