epoch,loss,lr,train_balanced_accuracy,train_accuracy,valid_balanced_accuracy,valid_accuracy
0,0.15209912690970534,0.02,0.9923479537417825,0.9926182100470672,0.9925640883066573,0.9927618328298087
1,0.14266621460803117,0.02,0.9934519282296164,0.9936183009644233,0.9927487896012244,0.9930135951661632
2,0.1389520133999612,0.02,0.9933976523648811,0.9936427787141489,0.9930842699187403,0.993296827794562
3,0.14352639469740197,0.02,0.9940394308439128,0.99412534006588,0.9935823268794892,0.9938003524672709
4,0.1467985793304957,0.02,0.9940373905124382,0.9941008623161546,0.9935590099650233,0.9936744712990937
5,0.13732443112049164,0.02,0.9943591091864078,0.9944505444550903,0.9931738445962723,0.9933912386706949
6,0.1390052402941443,0.02,0.9944051514776502,0.9944645317406478,0.9935933446386689,0.9937688821752266
7,0.13339261367595462,0.02,0.9942693907843189,0.9943456398134096,0.9930796455850794,0.993296827794562
8,0.13624777178541375,0.02,0.9943943970374354,0.9944715253834264,0.9936280521231059,0.9937374118831823
9,0.13335037724577264,0.02,0.9947626192832986,0.9948526789148664,0.9935180786967872,0.9936744712990937
10,0.13554895931868238,0.02,0.9945725277339951,0.9946813346667879,0.9936289665840092,0.9937688821752266
11,0.13689501036842955,0.02,0.9947065906823533,0.994789736129858,0.9936087893642541,0.993705941591138
12,0.13374440103983706,0.02,0.9948244764732315,0.99488764712876,0.9938452993602624,0.9940206445115811
13,0.13289584991314432,0.02,0.994948823546584,0.9950030422346088,0.9938601300114591,0.9939577039274925
14,0.13200950172307674,0.02,0.9947446618247799,0.9948177107009728,0.9934781569660771,0.9935800604229608
15,0.13358692958843804,0.02,0.9944097736558848,0.9945729332037179,0.9932158731120702,0.9933912386706949
16,0.13287660125777023,0.02,0.9951231404606617,0.9951569023757405,0.9938553214554817,0.9939577039274925
17,0.13230557905898677,0.02,0.9950262678130886,0.9950380104485024,0.9933507921506781,0.9935800604229608
18,0.13122911965675482,0.02,0.9941157779781211,0.9942931874925692,0.9928573960622213,0.9930135951661632
19,0.13019721402967582,0.02,0.9953068916535968,0.995338737087987,0.9938098177408967,0.9939262336354482
20,0.13412095359761084,0.02,0.9950262648529616,0.9951114436976789,0.9932127290512012,0.9934541792547835
21,0.1327591596854675,0.02,0.9951801934285176,0.9952233419821382,0.9939614526867576,0.9940521148036254
22,0.13020221717494856,0.02,0.9953930307138275,0.9954681194793933,0.9939441841125549,0.994115055387714
23,0.1304944904802515,0.02,0.9954052604358831,0.9954541321938357,0.9940657081693849,0.9941465256797584
24,0.13630220760330028,0.02,0.9941762058998678,0.994212760600614,0.9931542645857874,0.9931709466263847
25,0.14068783224701017,0.02,0.9949345988850273,0.9950519977340597,0.9931382920620602,0.993296827794562
26,0.13605318030865068,0.02,0.9951194727531498,0.9951673928399085,0.9933155561610678,0.9934856495468278
27,0.13550422817683044,0.02,0.995094846477756,0.9951464119115724,0.9933785601933258,0.9935485901309165
28,0.1323740887556144,0.02,0.9952943210887952,0.9953806989446593,0.9940017282687845,0.9940521148036254
29,0.1317303602000792,0.02,0.9951913937890366,0.9952268388035276,0.9933967286351159,0.9934227089627392
30,0.13209801821185532,0.02,0.9953825872443275,0.995436648086889,0.9938441436357617,0.9938632930513596
31,0.13204327225685106,0.02,0.9946728076342544,0.9949785644848832,0.993234638824183,0.9935485901309165
32,0.13083879060024836,0.02,0.9952856145309451,0.9953072656954829,0.9932820212051974,0.9933912386706949
33,0.13176245783730373,0.02,0.9954682433468206,0.9955030876932869,0.9940157913746794,0.9940521148036254
