epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.48438637072968305,0.02,0.9567376348640093,0.8796233672881963,0.9552269439774815,0.8772263904776163
1,0.2896949098724143,0.02,0.9632333697133579,0.9005080301666304,0.9613550177880292,0.8979235073386398
2,0.2734456975448118,0.02,0.9635119212453914,0.9147534608392811,0.9607979201688885,0.9089987685987414
3,0.26708295578354574,0.02,0.9631687544456933,0.902327563193816,0.9607685992415653,0.8957503018975239
4,0.2614200640971198,0.02,0.9644822362312466,0.9062517275459554,0.9618290394464208,0.8986462013686116
5,0.25816543254425284,0.02,0.9644463991920376,0.9025219901279831,0.9616970952734665,0.8962542622105552
6,0.2555844723449008,0.02,0.9652798818463677,0.9116125732517176,0.9627966300480864,0.9065339788735953
7,0.2542449466643797,0.02,0.9664467575624298,0.9223727919302681,0.9635345400523867,0.9132677356343712
8,0.25210053933674537,0.02,0.9641548160093828,0.9044433073774778,0.9617703975917745,0.8990502806591766
9,0.25060792199363946,0.02,0.9650100180814152,0.9167978435905765,0.9617557371281129,0.911423090852385
10,0.24758979789208252,0.019,0.9651495653401532,0.9202351665883564,0.9621173618984323,0.9137508433839903
11,0.24761031518324597,0.019,0.9667546303083614,0.9131050090249309,0.9638717307166035,0.9050632522793673
12,0.24662674421463182,0.019,0.9675256696367971,0.9166925026761321,0.964252902771805,0.9093325162881548
13,0.24498236144543756,0.019,0.9631111979887819,0.9011297057994965,0.9604802767895539,0.8965667400579793
14,0.24381458111215087,0.019,0.9643263994092319,0.9020040476741913,0.9610276007662536,0.892343194164647
15,0.24404230112162262,0.019,0.9662615995265167,0.9180673711604868,0.9632022362093905,0.9100023094759497
16,0.2434523884658686,0.019,0.9638588889431874,0.9079765333100026,0.961169318581649,0.9021360045694977
17,0.24212345058249685,0.019,0.963779070083131,0.9079637319888495,0.9608712224871965,0.8995064889209891
18,0.24186207607670276,0.019,0.966003138455858,0.9107424610455135,0.9627037804448961,0.9029468268074432
19,0.2411989117656587,0.019,0.9637855859084418,0.9089196601572201,0.9603385589741584,0.9018840848034736
20,0.2392465325696052,0.01805,0.9667828655513746,0.9169431011245018,0.9634123695218735,0.9103544600302773
