epoch,loss,lr,train_mse,train_mae,train_rmse,valid_mse,valid_mae,valid_rmse
0,0.2355324184950095,0.022294899647574695,0.11565321,0.25208768,0.34007823,0.115849674,0.25243393,0.34036696
1,0.08591295416248998,0.022294899647574695,0.10917423,0.24507844,0.33041525,0.10953033,0.24575593,0.33095366
2,0.08172942494383509,0.022294899647574695,0.10540191,0.23962548,0.3246566,0.10554106,0.24008285,0.32487082
3,0.07896158864285883,0.022294899647574695,0.10462838,0.23774791,0.3234631,0.104941234,0.23833206,0.32394636
4,0.07748129440945861,0.022294899647574695,0.10344626,0.23456237,0.32163063,0.10381333,0.23510613,0.32220075
5,0.07636185664506191,0.022294899647574695,0.099191114,0.23238824,0.3149462,0.1000162,0.23332389,0.31625336
6,0.08001291748776448,0.022294899647574695,0.105423056,0.2398057,0.32468918,0.105792776,0.24041939,0.32525802
7,0.07731520415401369,0.022294899647574695,0.09989184,0.2323545,0.3160567,0.100469284,0.23309703,0.3169689
8,0.07555437064874247,0.022294899647574695,0.0970338,0.2304412,0.3115025,0.097985886,0.23159511,0.31302696
9,0.07491850515144957,0.022294899647574695,0.098619066,0.2316496,0.31403673,0.099417694,0.23263632,0.3153057
10,0.07437530038087758,0.02118015466519596,0.09628946,0.22932938,0.31030545,0.09732229,0.23055243,0.3119652
11,0.07449307806373381,0.02118015466519596,0.0957856,0.22974117,0.3094925,0.096991844,0.23114623,0.31143513
12,0.07387668369472904,0.02118015466519596,0.095391616,0.22911248,0.30885532,0.09674786,0.23062158,0.31104317
13,0.07363402937571703,0.02118015466519596,0.09508359,0.22782724,0.30835626,0.097601004,0.22965929,0.3124116
14,0.07343788045471991,0.02118015466519596,0.09733097,0.22898589,0.31197912,0.09922762,0.23053159,0.31500417
15,0.07218344767209657,0.02118015466519596,0.09302246,0.22697543,0.30499583,0.095275335,0.22933112,0.30866703
16,0.07183093367834766,0.02118015466519596,0.09351572,0.22630937,0.3058034,0.09537966,0.2282461,0.30883598
17,0.07102976868981889,0.02118015466519596,0.09281938,0.22546735,0.30466273,0.094994254,0.22776651,0.3082114
18,0.07157337657845048,0.02118015466519596,0.09312264,0.2269121,0.30516002,0.09561578,0.22947493,0.30921802
19,0.07215443592881064,0.02118015466519596,0.09321373,0.22678211,0.30530924,0.0956176,0.2293476,0.30922097
20,0.07078681323160557,0.020121146931936163,0.09136244,0.22425938,0.30226222,0.09416087,0.22718665,0.30685642
21,0.0700837886404423,0.020121146931936163,0.09192739,0.22488798,0.3031953,0.0947757,0.22782144,0.30785662
22,0.07077705088085019,0.020121146931936163,0.09410931,0.2272408,0.3067724,0.095988594,0.22927062,0.30982026
23,0.07067282502510536,0.020121146931936163,0.091490276,0.22487831,0.3024736,0.09432108,0.22786424,0.30711737
24,0.06978065896910424,0.020121146931936163,0.0907383,0.22345452,0.301228,0.09387415,0.22680219,0.30638888
25,0.06948327287013495,0.020121146931936163,0.090175524,0.22283898,0.3002924,0.09400309,0.2268761,0.30659923
26,0.0692593187679909,0.020121146931936163,0.08994831,0.22283605,0.29991385,0.09366948,0.22680981,0.3060547
27,0.0690964961243219,0.020121146931936163,0.08906227,0.22180273,0.29843304,0.09311613,0.2259766,0.30514935
28,0.0690099077827565,0.020121146931936163,0.0903847,0.22352155,0.3006405,0.09492818,0.22812252,0.3081042
29,0.07170666129507634,0.020121146931936163,0.09106869,0.22371046,0.3017759,0.09482642,0.22753341,0.307939
30,0.06917074473871707,0.019115089585339355,0.08918391,0.22284624,0.29863676,0.09368599,0.22747244,0.30608168
31,0.0682805112291197,0.019115089585339355,0.08883064,0.22158599,0.2980447,0.09364826,0.22656557,0.30602002
32,0.06817099438906951,0.019115089585339355,0.08833461,0.22080724,0.29721138,0.09308211,0.22562453,0.30509362
33,0.06999174065070363,0.019115089585339355,0.089866705,0.22259462,0.29977775,0.09409796,0.22678532,0.3067539
34,0.06909478015380124,0.019115089585339355,0.09056907,0.22398183,0.30094695,0.09471375,0.22814791,0.30775598
35,0.06850223554834321,0.019115089585339355,0.08826399,0.22107078,0.29709256,0.09285838,0.22582376,0.30472672
36,0.06893590478299812,0.019115089585339355,0.090772234,0.22571051,0.3012843,0.09540004,0.23034194,0.30886897
37,0.0705105170730971,0.019115089585339355,0.09029031,0.22320846,0.30048347,0.09412105,0.22716276,0.30679154
38,0.06900290159921224,0.019115089585339355,0.089721605,0.22279382,0.29953566,0.09425827,0.22740766,0.3070151
39,0.0687896838531238,0.019115089585339355,0.089938276,0.22292593,0.2998971,0.094537616,0.2275891,0.3074697
40,0.06803833633877227,0.018159335106072386,0.087948695,0.22112314,0.29656145,0.0932954,0.22666064,0.30544296
41,0.06763475792440075,0.018159335106072386,0.08836649,0.22098592,0.29726502,0.09389065,0.22656868,0.30641583
42,0.06748466592428591,0.018159335106072386,0.088408604,0.2209705,0.29733583,0.09446895,0.22706506,0.30735803
43,0.06720268698582739,0.018159335106072386,0.087173685,0.21950696,0.2952519,0.09291788,0.22549339,0.30482435
44,0.06664875920237225,0.018159335106072386,0.08679336,0.2190258,0.29460713,0.093118176,0.22558473,0.3051527
45,0.06675788423135165,0.018159335106072386,0.08703669,0.21970262,0.2950198,0.0931106,0.22605951,0.3051403
46,0.06842926921280522,0.018159335106072386,0.08918259,0.22217305,0.29863456,0.09420239,0.22745131,0.30692407
47,0.06778396769401702,0.018159335106072386,0.08764329,0.22091489,0.29604608,0.093835354,0.22731464,0.30632555
48,0.0674253456896137,0.018159335106072386,0.0877661,0.22115317,0.29625344,0.09397992,0.22739027,0.30656144
