epoch,loss,lr,train_accuracy,valid_accuracy
0,1.7945361001150948,0.02,0.7147742565861033,0.7120457939273271
1,0.7284656643867493,0.02,0.8624615157716203,0.8608760577401693
2,0.5066624445574625,0.02,0.9248382279741164,0.9218516674962668
3,0.42138979945863997,0.02,0.9353372785428534,0.9348763895802223
4,0.383112895488739,0.02,0.951440738897185,0.9482329517172724
5,0.3518678103174482,0.02,0.9590269712220931,0.9548697527791604
6,0.328725790977478,0.02,0.9652581899968661,0.9616724738675958
7,0.3159730034215109,0.02,0.9648894788267611,0.9617554338808695
8,0.294372147321701,0.02,0.9701343952215032,0.9639953542392566
9,0.2827970611197608,0.02,0.9660785723503493,0.961008793761407
10,0.27900199379239765,0.019,0.9716368932396807,0.9665671146507382
11,0.27091442602021354,0.019,0.9754254005125085,0.9683922349427577
12,0.27197982668876647,0.019,0.9759600317091607,0.9678115148498424
13,0.25885139192853646,0.019,0.9775362719613591,0.9709639953542393
14,0.24948015085288455,0.019,0.978955809966263,0.9725402356064375
15,0.2484815648623875,0.019,0.9790848588757997,0.9704662352745976
16,0.25222525554043906,0.019,0.9797761923197464,0.9705491952878713
17,0.24537085507597242,0.019,0.9813524325719448,0.9718765555002489
18,0.2365961159978594,0.019,0.9811772947661449,0.9722083955533433
19,0.23489782682486943,0.019,0.9814814814814814,0.9735357557657208
20,0.23054167713437762,0.01805,0.9823018638349649,0.9729550356728057
21,0.22800067961215972,0.01805,0.9822926460557122,0.9740335158453625
22,0.2236578736986433,0.01805,0.9837582729568792,0.9750290360046457
23,0.21957383922168186,0.01805,0.9830116328374169,0.9724572755931641
24,0.2232106953859329,0.01805,0.9842468152572682,0.9745312759250041
25,0.21929816816534314,0.01805,0.9850395442729938,0.9744483159117306
26,0.22353062501975468,0.01805,0.9848736242464465,0.9755267960842874
27,0.21812715104648045,0.01805,0.9865051711741607,0.9757756761241082
28,0.21053763031959533,0.01805,0.9848183175709307,0.9754438360710137
29,0.21053493193217687,0.01805,0.9850671976107517,0.9727061556329849
30,0.2112851653780256,0.0171475,0.9868462290065078,0.9741994358719097
31,0.20708597472735812,0.0171475,0.9869291890197812,0.9739505558320888
32,0.20658580490521022,0.0171475,0.985961322198256,0.9736187157789945
33,0.20565119768892015,0.0171475,0.9880906292056117,0.976024556163929
34,0.2014364685331072,0.0171475,0.9881828069981381,0.9753608760577402
35,0.20518565688814436,0.0171475,0.987694264697749,0.9750290360046457
36,0.19945164706025806,0.0171475,0.9883395092454327,0.9748631159780986
37,0.20552452334335872,0.0171475,0.9882934203491694,0.9763563962170233
38,0.19470884459359306,0.0171475,0.9884869937134745,0.9741994358719097
39,0.20322709849902562,0.0171475,0.9878970558413066,0.9737016757922682
40,0.19545225543635233,0.016290125,0.9890677138063898,0.9750290360046456
41,0.19664026243346078,0.016290125,0.9884224692587061,0.974780155964825
42,0.20059325737612588,0.016290125,0.9900355806279152,0.97536087605774
43,0.19292011516434807,0.016290125,0.9903121140054938,0.9762734362037498
44,0.19222886902945382,0.016290125,0.9898880961598732,0.9768541562966649
45,0.19788790898663658,0.016290125,0.9886160426230113,0.9750290360046456
46,0.1921477232660566,0.016290125,0.9886713492985271,0.9757756761241082
47,0.19098904005118778,0.016290125,0.9902015006544623,0.975609756097561
48,0.18618870845862798,0.016290125,0.9896576516785576,0.9741994358719097
49,0.19673594662121363,0.016290125,0.9907730029681249,0.9767711962833915
50,0.18698945471218653,0.015475618749999998,0.9908283096436407,0.9766052762568442
51,0.187053097145898,0.015475618749999998,0.9911048430212194,0.9771859963497594
52,0.18294040858745575,0.015475618749999998,0.9906531718378409,0.9757756761241082
53,0.1961506107023784,0.015475618749999998,0.9906992607341039,0.9760245561639289
54,0.18417850477354866,0.015475618749999998,0.9915472964253452,0.9761075161772025
55,0.18706650648798262,0.015475618749999998,0.9913998119573032,0.9768541562966649
56,0.1828959860971996,0.015475618749999998,0.9911509319174824,0.9757756761241082
57,0.1805879111800875,0.015475618749999998,0.9912523274892612,0.9759415961506553
58,0.18086287762437547,0.015475618749999998,0.9921095809597551,0.9766882362701178
59,0.18536352515220642,0.015475618749999998,0.9910771896834615,0.9759415961506553
60,0.17248555762427195,0.014701837812499997,0.992625776597902,0.9778496764559481
61,0.18230612405708857,0.014701837812499997,0.9918791364784396,0.9773519163763066
62,0.17658938552652087,0.014701837812499997,0.9913537230610401,0.9762734362037498
63,0.17928967220442635,0.014701837812499997,0.9917408697896503,0.9780155964824955
64,0.17912343995911734,0.014701837812499997,0.9923400254410707,0.9783474365355899
65,0.181561022571155,0.014701837812499997,0.9909112696569142,0.9751119960179194
66,0.18028160120759693,0.014701837812499997,0.992773261065944,0.9771030363364859
67,0.17839527002402714,0.014701837812499997,0.991869918699187,0.9771030363364858
68,0.17743317953177862,0.014701837812499997,0.9913352875025349,0.975194956031193
69,0.17925875910690853,0.014701837812499997,0.9912338919307561,0.9747801559648249
70,0.17390035263129644,0.013966745921874996,0.9927824788451965,0.9771030363364858
71,0.17770828647272927,0.013966745921874996,0.9921833231937761,0.9778496764559481
72,0.17996733358928135,0.013966745921874996,0.9929115277547332,0.9767711962833915
73,0.17842714871679033,0.013966745921874996,0.9925151632468706,0.9766882362701178
74,0.17390926267419543,0.013966745921874996,0.9933171100418487,0.9779326364692218
