epoch,loss,lr,train_mse,train_mae,train_rmse,valid_mse,valid_mae,valid_rmse
18,0.08491736140690352,0.028109627047083044,0.10846238,0.22685686,0.32933626,0.10773841,0.22654691,0.3282353
19,0.0852911856613661,0.028109627047083044,0.10791277,0.22480048,0.3285008,0.10703621,0.2246138,0.32716388
20,0.08402325801159206,0.02670414569472889,0.107851595,0.22553465,0.32840768,0.10703593,0.2248147,0.32716346
21,0.08376253553126986,0.02670414569472889,0.106592804,0.22224857,0.32648554,0.10584477,0.22237904,0.32533795
22,0.08250792442183745,0.02670414569472889,0.1054523,0.22135815,0.3247342,0.10533671,0.22182943,0.32455617
23,0.08121928415800396,0.02670414569472889,0.105464466,0.22027615,0.32475293,0.10562122,0.2210602,0.32499418
24,0.08223903924226762,0.02670414569472889,0.104013264,0.22033009,0.32251087,0.10437475,0.2215426,0.32307082
25,0.08201383799314499,0.02670414569472889,0.10518358,0.22102079,0.32432017,0.10532329,0.22211595,0.3245355
26,0.08149340317437523,0.02670414569472889,0.102104455,0.21989939,0.31953788,0.103046656,0.22120371,0.3210088
27,0.08080223085064638,0.02670414569472889,0.10091677,0.21822874,0.317674,0.10282585,0.22072864,0.3206647
28,0.07921368393458818,0.02670414569472889,0.10106648,0.21673101,0.31790954,0.103006735,0.21928546,0.32094663
29,0.07905229181051254,0.02670414569472889,0.10049691,0.21663414,0.3170125,0.10286403,0.21973045,0.32072422
30,0.07775394579297618,0.025368938409992447,0.098186485,0.21402685,0.31334722,0.10103325,0.21772261,0.31785727
31,0.07817689407812922,0.025368938409992447,0.09915331,0.21397084,0.31488618,0.10170383,0.21730691,0.3189104
32,0.07774789709793894,0.025368938409992447,0.09755842,0.21301664,0.31234342,0.10108116,0.21749441,0.31793264
33,0.07721633307243646,0.025368938409992447,0.09753748,0.21419367,0.31230992,0.10116172,0.21841592,0.3180593
34,0.0771374698532255,0.025368938409992447,0.098179825,0.21528624,0.3133366,0.102375284,0.22047485,0.31996137
35,0.07606671319196098,0.025368938409992447,0.09630691,0.21172665,0.31033355,0.100776404,0.2170666,0.317453
36,0.07580554720602539,0.025368938409992447,0.096664846,0.21334857,0.31090972,0.101309285,0.21884592,0.3182912
37,0.07585082791353527,0.025368938409992447,0.09446595,0.20989646,0.30735314,0.100290485,0.21707743,0.31668672
38,0.07480078347419439,0.025368938409992447,0.094338365,0.20975235,0.3071455,0.100762166,0.21807534,0.31743056
39,0.07515573187878258,0.025368938409992447,0.09454769,0.20942435,0.3074861,0.10020592,0.21680734,0.31655318
40,0.07363511072961908,0.024100491489492823,0.09239799,0.20825577,0.30397037,0.09984931,0.21748246,0.31598943
41,0.0734342873880738,0.024100491489492823,0.09245729,0.20872556,0.3040679,0.09972765,0.2174658,0.31579685
42,0.07331943982525875,0.024100491489492823,0.08989555,0.20561965,0.29982585,0.09816543,0.21576537,0.31331363
43,0.07257450215126339,0.024100491489492823,0.09108961,0.20614876,0.30181053,0.09910509,0.21616396,0.31480962
44,0.07213287251560312,0.024100491489492823,0.090941355,0.20585656,0.30156484,0.099627756,0.21719861,0.31563866
45,0.07214924653894023,0.024100491489492823,0.08948995,0.20346786,0.2991487,0.09797503,0.21438675,0.31300962
46,0.07248389485635255,0.024100491489492823,0.088264935,0.20221241,0.29709414,0.09897095,0.21564056,0.31459647
47,0.07177162209623739,0.024100491489492823,0.0885411,0.20255001,0.29755858,0.09812762,0.21477206,0.31325328
48,0.07087679834742296,0.024100491489492823,0.08702188,0.20095748,0.2949947,0.09888425,0.21572104,0.31445867
49,0.07050650213894091,0.024100491489492823,0.08730067,0.20101114,0.29546687,0.10015717,0.21721204,0.31647617
50,0.0703712376324754,0.02289546691501818,0.08671252,0.20022097,0.2944699,0.09866109,0.21537426,0.31410363
51,0.06991231363070638,0.02289546691501818,0.08476484,0.19823062,0.291144,0.09885821,0.21557568,0.31441724
52,0.06904740710007518,0.02289546691501818,0.0846154,0.19859238,0.29088727,0.098403916,0.21584468,0.31369397
53,0.06889375299215317,0.02289546691501818,0.08421985,0.19717239,0.29020655,0.098707706,0.21559903,0.3141778
54,0.06887133654795194,0.02289546691501818,0.08478199,0.19725104,0.29117346,0.1003649,0.21727653,0.3168042
55,0.06801597342679375,0.02289546691501818,0.0835662,0.19668768,0.2890782,0.098638624,0.21546616,0.31406787
56,0.067661956736916,0.02289546691501818,0.0832861,0.19689482,0.28859332,0.09876568,0.2163441,0.31427008
57,0.0673137848314486,0.02289546691501818,0.0835796,0.19537884,0.28910136,0.09973983,0.2159709,0.31581613
58,0.0674883080156226,0.02289546691501818,0.082260296,0.19450836,0.28681055,0.099516615,0.21633808,0.31546253
59,0.06692654208133095,0.02289546691501818,0.083900444,0.19643278,0.28965575,0.10080618,0.21806708,0.31749988
60,0.06657883740569416,0.02175069356926727,0.08218854,0.19355886,0.28668544,0.100383334,0.21686009,0.3168333
61,0.06682838499546051,0.02175069356926727,0.082320526,0.19386417,0.28691554,0.10029883,0.2167688,0.3166999
62,0.06611429664649461,0.02175069356926727,0.08179683,0.19370586,0.28600144,0.0998981,0.21702892,0.3160666
63,0.06599988906007064,0.02175069356926727,0.08030855,0.19314674,0.28338763,0.09987013,0.21814156,0.31602237
64,0.06518350110242242,0.02175069356926727,0.0795489,0.19192882,0.28204414,0.10049407,0.21840256,0.317008
65,0.06511008464976362,0.02175069356926727,0.08047557,0.19157304,0.28368217,0.09959774,0.21615842,0.3155911
