epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.2740184563317233,0.02,0.9737544657864083,0.8503147950115354,0.9726271723070428,0.8471475372211215
1,0.16648382811044307,0.02,0.9781753011718537,0.9395058527898511,0.9771723070428481,0.933789156365587
2,0.15561990205458,0.02,0.9789527584292941,0.9348959906078782,0.9778899598958699,0.9272159396180775
3,0.15232934861229924,0.02,0.9798701501755045,0.948026047109604,0.9789488496446914,0.9389976535343902
4,0.15013078828040266,0.02,0.9801488465176638,0.944457175332291,0.9789136705832688,0.9389821701012375
5,0.14545963628231,0.02,0.9787362117623146,0.9380652129018927,0.9771828607612749,0.930351355073064
6,0.1427025760682797,0.02,0.9786365377549504,0.9483955833052271,0.9770738056708648,0.9430797317707522
7,0.14231185309642622,0.02,0.9791079371780138,0.9465672491960555,0.9772285935411242,0.9360824298159233
8,0.14030202471608638,0.02,0.9795816818718388,0.9491489417271026,0.9777281362133259,0.9400819446298496
9,0.1385011309869676,0.02,0.9790661131827669,0.9407658661284859,0.9768486596777598,0.9271942644962782
10,0.13786839990853517,0.019,0.9808176395631543,0.9556829638393759,0.9787518469007247,0.9454573758698072
11,0.1372837659248932,0.019,0.981869102621231,0.9501038861398562,0.9800710617040738,0.9413719599399526
12,0.13552431851100522,0.019,0.9819449330425197,0.9520481325002801,0.979954970801379,0.9397437743365364
13,0.13665644508943822,0.019,0.9814176379996404,0.9349599352362168,0.9794870892844578,0.923058806824216
14,0.13490524425136252,0.019,0.9802344489004589,0.9488214809551329,0.9779779075494266,0.9383872254864243
15,0.13413467164560736,0.019,0.9809849355441419,0.9442958640725914,0.9786392739041723,0.9296009448642764
16,0.13528106860917866,0.019,0.9795816818718388,0.9454466303831701,0.9774713290649406,0.935252468602698
17,0.1342434412042934,0.019,0.9832934637303876,0.9564159207507696,0.9811229156406107,0.9452748881770405
18,0.13752227299231523,0.019,0.9799702150613288,0.9473204748406623,0.9774713290649406,0.9330312330416515
19,0.13572848502328808,0.019,0.981210472415707,0.9495308524752051,0.9790930837965244,0.9367863881951453
20,0.13530821553032543,0.01805,0.9808332747015642,0.9476768463673764,0.978688524590164,0.9336216469263388
