epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.46994934961181134,0.02,0.9572061897459441,0.7735796882630313,0.9564579578919608,0.7670716579930211
1,0.26800330065293393,0.02,0.9601828744176051,0.8756714153048389,0.9586226979033888,0.8620949241675009
2,0.25000998862693835,0.02,0.9601395305677922,0.8853714195746025,0.9588095028789942,0.8658604698422891
3,0.24194949259223866,0.02,0.9630112132370896,0.8977510115813492,0.9618203595446354,0.8841313407518203
4,0.23664558532464788,0.02,0.9658419939636058,0.9115224665100163,0.9643367324513208,0.8954091957626155
5,0.2323303532428825,0.02,0.9651008751794802,0.9033828637824615,0.963644455188783,0.8841021151067827
6,0.22929420332437164,0.02,0.9665684613055412,0.9104469268971442,0.9645345259549031,0.8897627490124276
7,0.22652065766991603,0.02,0.9653151525215131,0.9125127480931804,0.9631389829018504,0.8949345574618557
8,0.22495251444537886,0.02,0.9667699186356578,0.9147582974590628,0.9644905718429959,0.8971525395618387
9,0.22472565191260566,0.02,0.9634300002930289,0.9028375668933435,0.9612104962419235,0.8826815338461501
10,0.22046095968337173,0.019,0.9639946912941131,0.9099981853633441,0.9621280383279855,0.892035288479861
11,0.21966465819016256,0.019,0.9666600328192305,0.9181377101898276,0.9634411674212122,0.8941340351346352
12,0.21825739483958642,0.019,0.9677772052862403,0.9091192635899701,0.964699353874555,0.8800075817186792
13,0.2186617131189948,0.019,0.9670959132243917,0.9089816429778301,0.9642598127554833,0.8902287060624948
14,0.21826075095781247,0.019,0.9667619824378046,0.9160864966934761,0.9638422486923652,0.8894255985663975
15,0.21602512233994328,0.019,0.9656142861328983,0.9067753143280197,0.9622818777196607,0.8808143636271004
16,0.21504552403140872,0.019,0.9662259838443431,0.9103089275120978,0.9634027075732934,0.8892078552897101
17,0.21437678304273589,0.019,0.9651216313892498,0.9163639534742338,0.962106061272032,0.8923495585313834
18,0.21338531166053987,0.019,0.9668260824973871,0.907137141230683,0.9638367544283768,0.8837820664849548
