epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.41887557258936914,0.02,0.9655345832724969,0.9212713990698266,0.9656454785155411,0.9253013952406263
1,0.25072506416811147,0.02,0.9709860090410167,0.9331262932973838,0.9702189241881597,0.9307339208650975
2,0.23715141147579036,0.02,0.9717413356923573,0.9403685163357007,0.9711121417467556,0.9404983044544235
3,0.22868712387709558,0.02,0.9712603696376818,0.9270820366023659,0.9705023489904065,0.9226260103031779
4,0.22424538636021135,0.02,0.972698019164207,0.9352022771660383,0.9721084228698049,0.9313382051311226
5,0.22230046151437133,0.02,0.9730205717961125,0.9510805183441724,0.9722372523253717,0.9477992530159928
6,0.21994961952592154,0.02,0.9727538455812674,0.9436100662466973,0.9715201016893836,0.938472992658542
7,0.21795698181741519,0.02,0.9735516384814833,0.9502736082922962,0.9723489045201962,0.945513668283744
8,0.21636828229574162,0.02,0.9723549491311596,0.9516088222030963,0.971361212027518,0.9476728642312708
9,0.21527693913712412,0.02,0.973155604924558,0.9447191827907525,0.9714342153856725,0.9402192900676107
10,0.2132931483485249,0.019,0.9740211529634284,0.9566337845341708,0.9725163828124328,0.9500671971982525
11,0.21228364195933205,0.019,0.9738990028543045,0.9539282808083491,0.9727096269957829,0.9498252551561046
12,0.2104996012511025,0.019,0.9729857399290576,0.9288873274649077,0.9713912722338169,0.9223065904889745
13,0.21005127198069207,0.019,0.9734156510553101,0.9468668964140685,0.9716274595690225,0.9411477545066465
14,0.21007873993348755,0.019,0.9735206238053385,0.9505368138535301,0.9717176401879193,0.9440111495062211
15,0.2093291187099931,0.019,0.9736938288428854,0.9498841074921611,0.9722501352709283,0.9435381095554556
16,0.208221891437924,0.019,0.9473089281232494,0.937134218441615,0.9452002439171026,0.9284373184917282
17,0.20860279018636563,0.019,0.9725553516539411,0.9489674899868497,0.9713010916149202,0.9425153687593573
18,0.20829376291378035,0.019,0.9741962665964303,0.9501857379290041,0.9723360215746395,0.9442576635652875
19,0.2073691199485391,0.019,0.9745140477396981,0.9525259331825169,0.9726967440502263,0.9465599456726109
20,0.20547174850983133,0.01805,0.9745646255192573,0.9501610675933556,0.9726967440502263,0.9411914856513541
