epoch,loss,lr,train_balanced_accuracy,train_logloss,train_accuracy,valid_balanced_accuracy,valid_logloss,valid_accuracy
0,0.3296997817840213,0.02,0.9979148302112475,0.009037145488877338,0.998016150823452,0.9975874215478799,0.009721762271380373,0.9976924965223795
1,0.11267191601754124,0.02,0.998798437510916,0.004951960650398866,0.9988153274624005,0.9987515873906976,0.005361040702940948,0.9987562392602897
2,0.10030560378588782,0.02,0.9987253119905186,0.0044083196896509596,0.9987471383293844,0.9987773325481711,0.004371181583219039,0.9987889698060715
3,0.0942844716030792,0.02,0.9989722229115983,0.0035123718680471617,0.9990153489192477,0.9990964265034827,0.0033359659900663923,0.9990917273545536
4,0.09105978335220938,0.02,0.9991252299369459,0.003303650674980453,0.9991826395922472,0.9991513372298995,0.003581918469947951,0.9991817363554538
5,0.08884460109266935,0.02,0.9991509453040218,0.00328716702140954,0.9992117336223341,0.9991735707135534,0.003470906775814129,0.9992062842647901
6,0.08689624148124425,0.02,0.9991717265276291,0.0027171489293582513,0.9992590114212252,0.9991665690623496,0.002851370614093251,0.999239014810572
7,0.08482776294346182,0.02,0.9991550989700013,0.002892821158474111,0.9992044601148123,0.9990824324991128,0.0031919258017856136,0.9991244579003355
8,0.08311674166019853,0.02,0.9989926128549284,0.0031302930324780013,0.9990435337608944,0.9989258044542797,0.003385118440644376,0.9990262662629898
9,0.08350822147072136,0.02,0.9990705439101037,0.003320118345170243,0.9991144504592311,0.998950343122969,0.0036374855486032216,0.9989853530807626
10,0.08073233090188472,0.019,0.9993374585361052,0.002264735944379845,0.9993899345566161,0.9993044990596764,0.002402453092100925,0.9993535717208084
11,0.08004885080861862,0.019,0.99930251866947,0.0026819598301006816,0.9993435659461651,0.9992764463064523,0.0027168991677925785,0.9992881106292447
12,0.07975682993618909,0.019,0.9992543312907884,0.002587960936380626,0.9992990157125946,0.9992296910291145,0.002672092780946194,0.999239014810572
13,0.07838369222631893,0.019,0.9994339628629164,0.0021651156713114873,0.9994508501821104,0.9993594438809269,0.002415033140860271,0.9993781196301448
14,0.0774891955406862,0.019,0.9991931564954517,0.002627519605577811,0.999232644956459,0.9991209841130699,0.0027157881844014193,0.9991653710825628
15,0.07817292078164043,0.019,0.9993646033884572,0.002159405435095616,0.999423574528904,0.9993454233586911,0.002372376562222308,0.9993944849030358
16,0.07701679000030903,0.019,0.999392009398996,0.0025750599671382915,0.9993953896872574,0.9993197071297983,0.002853351993013881,0.999345389084363
17,0.07674183278193682,0.019,0.9992210806137196,0.0025076224567213137,0.9992808319437904,0.9990637223980312,0.002827765255719375,0.9991408231732264
18,0.0751352111706631,0.019,0.9994499378928143,0.0022777294169495418,0.9994735798931158,0.999244898754414,0.0026242212621682606,0.9992799279927993
19,0.07590518171033606,0.019,0.9992990112012721,0.0025729699655558853,0.9993081075969967,0.9992974901763274,0.0025503019145910835,0.9992881106292447
20,0.07372821765488757,0.01805,0.999240433147016,0.0025781992808505665,0.999283559509111,0.9992600871939927,0.0026472103800416805,0.9992717453563538
21,0.07338145419650019,0.01805,0.9993904503910362,0.0021382486788335316,0.9994044815716595,0.9994038678001859,0.0022454540898125424,0.9993944849030357
22,0.07266791703203758,0.01805,0.9994234415891232,0.0020143108967951968,0.9994644880087137,0.9992928126510572,0.0021966897390544053,0.9993699369936994
23,0.0721539403320579,0.01805,0.9993518737970909,0.002418764331197099,0.9993872069912955,0.9993501032946766,0.00257881574544836,0.9993781196301448
24,0.07203597694746393,0.01805,0.999374865646645,0.0020650970493086432,0.9994263020942247,0.9993255332866913,0.0024922144705030215,0.9993699369936994
25,0.07216849879429324,0.01805,0.9993898005670313,0.0022646550921087047,0.9994290296595453,0.9993021773444581,0.00258562047653789,0.9993208411750265
