epoch,loss,lr,train_balanced_accuracy,train_accuracy,valid_balanced_accuracy,valid_accuracy
0,1.368355483282358,0.02,0.919859248558007,0.9241088885546698,0.9139332640187319,0.918651867893882
1,0.3868429306894541,0.02,0.964031339693864,0.9643029026921341,0.9620651661590267,0.9626421223605848
2,0.2789358436129988,0.02,0.978675842031537,0.9790720409084073,0.9774766912887377,0.9780048727666486
3,0.2410964632872492,0.02,0.9832890131354601,0.9836591968717101,0.9809169637925079,0.9815240931239848
4,0.21656334353610873,0.02,0.9851971761498717,0.9850503835163182,0.9829051893495095,0.9829453167298321
5,0.20565355569124222,0.02,0.9892186568878236,0.9892013836667168,0.9857671225013194,0.9857877639415268
6,0.19277819967828694,0.02,0.9895734966845673,0.9897428184689427,0.9845701773624767,0.9848402815376286
7,0.18240121682174504,0.02,0.9887437903175349,0.9888028274928561,0.9855759316554797,0.9855847319978344
8,0.17659563780762255,0.02,0.9904315624093573,0.9905023311776207,0.9851323777937186,0.9853817000541418
9,0.1755999067099765,0.02,0.9907406491652884,0.9907429688674989,0.9871608282998541,0.9872089875473742
10,0.16913733212277293,0.019,0.9914834907116767,0.9915626409986464,0.9860599533954733,0.9863968597726043
11,0.16105151257943362,0.019,0.9916850306470706,0.9918859978944202,0.9870339344894188,0.9873443421765025
12,0.1628629581537098,0.019,0.9921809579319689,0.992111595728681,0.9870185006446186,0.9871413102328099
13,0.15632452431600544,0.019,0.992295718849348,0.99240487291322,0.9864718686984182,0.9867352463454251
14,0.15775635663885623,0.019,0.9929763637679418,0.9930139870657242,0.9866275643521714,0.9868029236599891
15,0.15006669994909316,0.019,0.9937893330964147,0.9938336591968717,0.9888600983801534,0.988900920411478
16,0.15494672802742568,0.019,0.9928810309143379,0.9930139870657242,0.9882364950034856,0.9884271792095289
17,0.15284701890777797,0.019,0.99338679928031,0.9932847044668371,0.9876774448521748,0.9878180833784516
18,0.14487209240905946,0.019,0.9929938165098557,0.9929613475710632,0.9884934782953361,0.9882918245804007
19,0.15079343167599293,0.019,0.992154163291421,0.9920815160174463,0.9869063480123047,0.9870059556036817
20,0.14325963309966033,0.01805,0.9924291425142815,0.9922995939238983,0.9870935473291483,0.9872089875473742
21,0.1437068769009784,0.01805,0.9947706219143799,0.9947886900285757,0.9898618864736064,0.9900514347590688
22,0.14010794810019436,0.01805,0.992531687885456,0.9923672732741766,0.987746241635735,0.9876827287493233
23,0.1370239057578147,0.01805,0.9943804513700303,0.9943976537825236,0.9878250677729361,0.9877504060638873
24,0.13470380159560597,0.01805,0.9949135103253115,0.9949090088735149,0.9884958525233696,0.9886978884677856
25,0.13784111617133024,0.01805,0.9943127905876759,0.9944202135659497,0.9883252430570844,0.9882918245804007
26,0.12979944644030186,0.01805,0.9948697087807878,0.9950744472853061,0.9890049609144014,0.9893746616134271
27,0.13290373131167138,0.01805,0.9956129280891495,0.9956760415100014,0.9905116350945459,0.9903221440173253
28,0.1320973980473355,0.01805,0.9945126092246777,0.9943976537825236,0.9894573127318362,0.9893746616134271
29,0.13348829641472548,0.01805,0.9951661502164331,0.9951571664912017,0.989077857600977,0.9893069842988631
30,0.12811545422300702,0.0171475,0.9947301039260137,0.9948338095954279,0.9887714982276491,0.9887655657823498
31,0.12854340288322413,0.0171475,0.9955069732165807,0.9954730034591668,0.9902858153796466,0.9902544667027613
32,0.13074362243060023,0.0171475,0.994242202245524,0.9940366972477064,0.9897513388181779,0.9895100162425555
33,0.1232910028193146,0.0171475,0.9940473251993569,0.994021657392089,0.9882785613133385,0.9884271792095289
34,0.12962359492667014,0.0171475,0.9957052825534345,0.995615882087532,0.9907015550153433,0.9905928532755821
35,0.12405063468031585,0.0171475,0.9950389376805215,0.99487892916228,0.9891539373789711,0.9890362750406063
36,0.12640618777368215,0.0171475,0.9961333479793926,0.9962475560234623,0.9903554066586399,0.9904574986464537
37,0.1280670572305098,0.0171475,0.9964761818487686,0.9965257933523839,0.9910393283767622,0.9910665944775311
38,0.1227403589291498,0.0171475,0.995067197378759,0.9948037298841932,0.9883164452717335,0.9879534380075798
39,0.11964728147722781,0.0171475,0.9958317819231397,0.9958414799217927,0.9900032328865306,0.9899837574445046
40,0.11528815410565585,0.016290125,0.9959392673112447,0.9959166791998797,0.9893261966170603,0.9895100162425555
41,0.12180886347778141,0.016290125,0.9962249229371182,0.9962099563844187,0.9900388688383166,0.9900514347590688
42,0.11718419473618269,0.016290125,0.9969776882994383,0.9969544292374792,0.9902884590584855,0.9903898213318896
43,0.12424405000638218,0.016290125,0.99716574736043,0.9972025868551662,0.9903756924063283,0.990592853275582
44,0.12045326421502978,0.016290125,0.9965588506182087,0.9966912317641751,0.9905192076865492,0.990592853275582
45,0.11752441199496388,0.016290125,0.9973943163365577,0.9974582644006618,0.9900309113652548,0.990186789388197
46,0.12188529339618981,0.016290125,0.9961529277241297,0.9963077154459317,0.990828608965789,0.9910665944775312
47,0.11482622392941266,0.016290125,0.9960710011792042,0.9961723567453753,0.9882967941349519,0.9884271792095289
48,0.12349391507450491,0.016290125,0.996997359793806,0.9971048277936532,0.9893337948791557,0.9895776935571197
49,0.11464461509604007,0.016290125,0.996892777746041,0.9969093096706272,0.9903352303920692,0.9903221440173254
50,0.11500774102751166,0.015475618749999998,0.9955511335991258,0.9953902842532711,0.9902350843066167,0.990186789388197
51,0.11653777456376702,0.015475618749999998,0.9967618208521605,0.9967363513310272,0.9902559992270454,0.9903898213318896
52,0.11374229355715215,0.015475618749999998,0.9977673116786214,0.9978267408632877,0.9904238689645499,0.9904574986464537
53,0.11861687246710062,0.015475618749999998,0.9963798534567795,0.9962475560234622,0.9887996324782501,0.9886978884677856
54,0.11489387066103518,0.015475618749999998,0.9976695920162311,0.9977440216573921,0.990748556868787,0.9910665944775312
55,0.11365819466300309,0.015475618749999998,0.9967700813159758,0.9969243495262445,0.9901336428182896,0.9902544667027613
56,0.11653913813643157,0.015475618749999998,0.9971048039409544,0.9970822680102271,0.9909045156835649,0.9908635625338387
