epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.3623315555664956,0.02,0.973447919659175,0.9384949634164503,0.9731977964117032,0.9369268547128662
1,0.24334353942937204,0.02,0.9737932678496115,0.9427769702783555,0.9733176420662177,0.9394014358192991
2,0.2344113677966681,0.02,0.9741720157070121,0.952956374803996,0.9737420135641704,0.9503195183060724
3,0.22620773845233946,0.02,0.9742075983587448,0.9504551823827481,0.9735258984494723,0.948097835085894
4,0.22592453043474708,0.02,0.9724677594979484,0.9465656339935428,0.9719128938206795,0.9435207486878008
5,0.22287466380351995,0.02,0.9730287865835503,0.9225535326043073,0.9723981704873199,0.9205873840888519
6,0.22171888335179757,0.02,0.9760694660681213,0.9526272939248813,0.9753550181929633,0.9496489500075509
7,0.21958589983007765,0.02,0.9745824168435613,0.9485200958532998,0.9740170691646954,0.9447550486211114
8,0.21886053364157462,0.02,0.9727063597331869,0.9442293402379811,0.9723136891243016,0.9421007326868222
9,0.21506649787556073,0.02,0.9762445414465855,0.9556235793026242,0.9754748638474777,0.9534548360676722
10,0.2136369419745661,0.019,0.9744499096680903,0.9498113937007391,0.9735691214724119,0.9471834210786487
11,0.21252654908035007,0.019,0.9764661144006266,0.9548099375275044,0.976054445291441,0.9517467699749824
12,0.21234026740510034,0.019,0.973915078399715,0.9525536072557573,0.973329430163383,0.9505833040175268
13,0.21232450664816468,0.019,0.9736419870051283,0.9505268233220323,0.9730209749542229,0.9484707327138866
14,0.2131015188952039,0.019,0.9758773634084601,0.954442857953617,0.9752037376126745,0.9518599689452404
15,0.21105005452159478,0.019,0.9747465772981809,0.9501503785581199,0.9740602921876351,0.9477613153564183
16,0.21152721082854997,0.019,0.9743346480722934,0.9518004159123331,0.9736614615668739,0.9467822259248484
17,0.21080314813844853,0.019,0.9746754119947154,0.9481625017851596,0.9740504687733307,0.9461383977920874
18,0.21075525078156135,0.019,0.9744152002102651,0.9497027242784291,0.9738500711215197,0.9476304354713739
19,0.21021024187716905,0.019,0.9748537618503328,0.9544058104419124,0.9741428088677926,0.9519029821359923
