feature_name
Unc93b1
Actn1
Fam107a
Alox5ap
Lpcat2
Plk2
Arpc2
Mylk
Nkain4
Pde3a
Rab3a
Dcx
S100a16
Tgfbr1
Ccdc88a
Bex2
Tctex1d4
Ehd4
Foxj1
Pglyrp1
Luzp2
Igfbp6
Cyth4
Ndufb6
Foxg1
Coro1a
Cd83
F13a1
Sept4
Gm17750
Spef2
Slc7a5
Rac2
Cab39l
Vsir
Stmn2
Atp1b2
Pf4
Psip1
Uba2
Col1a2
Ly6c1
Asah1
Usmg5
Klf4
Cox7b
Atp1a2
Cd200
Ppp1r14b
Oaz2
Epn2
Nfix
Bst2
Cfap126
Sptbn1
Cenpf
Ptprz1
Basp1
Hemk1
Uqcr10
Ube3a
Kctd12
Vwa1
Selenoh
Itga1
Cntn1
Ifi27
Rarres2
P2ry14
Gm1673
Ifitm2
Ly6h
Stk39
Tuba1a
Gpr34
Arl2bp
Tspan7
Snrpe
Atp13a5
Ninj1
Foxp1
Neat1
Mob2
Stmn3
Nnat
Hbb-bs
Nrros
Pmp22
Slc4a4
Cd14
Sod3
Bzw1
Mdh1
C1qb
Mns1
Kcnj8
Dpysl2
Itih5
Olig1
Slc15a3
H2afz
Gucy1a1
1700001C02Rik
Ndufv3
Id1
Myl9
Gria2
Scrg1
Maged1
Palld
Ctla2a
Hnrnpab
Rcn2
Dlx6os1
Marcks
Fscn1
Tril
Plac8
Arl4a
Spa17
Rtn1
Hexa
Msrb1
Gngt2
Pld4
Slc27a1
Srgn
Tinagl1
Dtna
Rap1b
1700012B09Rik
S100a6
Siglech
Pla2g16
Ccdc113
Mlf1
Gm17018
Aebp1
Pecam1
Gpr37l1
Hbb-bt
Tmem100
Cox8b
Pcdh15
Clta
Gng11
Nr4a1
Hk2
Emcn
Ablim1
Cd9
Gsn
Scd2
Maf
Prdx2
Irf8
Higd1b
Rock1
Tmsb10
S100b
Tpm2
Smc4
Dclk1
Nusap1
Defb11
Auts2
Gm2a
Itm2a
Gap43
Bola3
Sncg
Grn
Hspb1
Anxa5
1500015O10Rik
Atp1b1
Ube2s
Abcc9
Iqca
Chgb
Egfl7
Acta2
Thra
Slc7a1
Celf4
Hpgds
Eng
Cd300c2
Adgrl4
Mgp
Lef1
Timp2
Pcsk1n
Mrpl33
Gm3764
Ccl4
Arhgdib
Nsg1
Crygn
Odf3b
Serf1
Stab1
Mfge8
Fam183b
Lsamp
Apod
Syngr1
Bnip3l
Ly6a
Lgals3
Aldoc
Ptprc
Fcrls
Tyrobp
Ctsb
Crybb1
Cldn10
Folr1
Atpif1
Slc6a1
Rgs5
Pcp4
Blvrb
Lsm3
Bex3
Tomm7
Smim5
Trem2
Pdgfra
Vim
P2ry12
Alas2
Lst1
Hint2
Aplp1
Ntrk2
Zcchc18
Matn4
Ptgds
Fxyd5
Bex1
6330403K07Rik
Hist1h2ap
Ndufa1
Eif4a2
Tubb4b
Gm19935
Tubb5
H2-D1
C1qa
Mafb
Acvrl1
Igfbp5
Cfap161
Cdk4
Ccnd2
4930523C07Rik
Ifitm1
Gm10714
Gpx1
Gpm6b
Efemp1
Sgms1
Rpsa
Gabbr1
Skp1a
Dgat2
Pltp
Fn1
Mt3
Esam
Prr13
Rasgrp2
Ccnd1
Top2a
4933434E20Rik
Ms4a7
Tmem119
Flt1
Itm2c
Cd37
Ywhah
C1qc
Pmm1
Errfi1
Ptgs1
Sorbs2
Atp5g1
Sncb
Enkur
Meig1
2010107E04Rik
Spi1
Ucp2
Fabp5
Btg1
Zic1
Calm3
Trf
Myl12a
Nov
Dnah12
Snhg11
Cxcl12
Bcap31
Rhoh
Gpm6a
Klf2
Snhg18
Hba-a2
Ccl12
Igf1r
1700088E04Rik
2410004P03Rik
Gjb6
Laptm5
Ctss
Pcdh17
Mpzl1
Stmn4
Cd52
Tppp3
Dstn
Tmem47
Tm4sf1
Ccl7
Hist1h4h
Klf9
Prdx6
Hmgb3
Prdx5
Ltbp4
Anp32b
Cryab
Rrm2
Gas6
Txn1
3110035E14Rik
Apoo
Cd24a
Hdc
Gm13861
Fxyd6
Ccl2
Fcgr2b
Mcee
Cx3cr1
Pclaf
Ndrg2
Cald1
Ppp1r12a
Marcksl1
Tpm1
Olfml3
Ptp4a2
Cox4i2
Jpt1
Slc4a10
Cacng4
Slc6a6
Cfap54
Igfbp2
Dlx1
Lgals1
Filip1l
Arl3
Lsp1
Ctsc
Ms4a6c
Mlc1
Morf4l2
Elavl3
Pgk1
Snx5
Krt18
Nfkbiz
Hcfc1r1
Fgfr3
Ptprs
Calml4
Mt2
Pln
Arpc5
Cxcl14
Ube2c
Tubb2b
Pou3f2
Slco1a4
Flna
Nrxn3
Efcab1
Pantr1
Zbtb20
Mia
Bcam
Cks1b
1700016K19Rik
Kdr
Lgmn
Ndufc1
Lrrc51
Usp50
Nrxn1
Rgs10
Cspg5
Hmgn2
Fxyd1
Ndufa11
Tmpo
Fbln1
1700007K13Rik
Cldn5
Ppp1r14a
Selplg
Kcnj13
Cyba
Des
Jcad
Mrpl58
Cenpa
Hmgb2
Phlda1
Hba-a1
S100a10
Ltc4s
Rsph1
Id4
Ankrd11
Car4
Ndrg1
Mmd2
Pbx1
Fcer1g
Ramp2
Ezr
Ebf1
Syt11
Eva1b
Car2
Dut
Tspan13
Sem1
Peg3
Gm867
Ptpn18
Slc7a10
Thrsp
Abcg2
Clstn1
Anxa2
Rorb
Dnali1
Nbl1
Abcb1a
Ccdc34
Celf2
Pifo
Nudt21
Cd53
Rfk
Meg3
Acp1
Map3k20
Msn
Ntsr2
Tubb3
Uqcrq
Cotl1
Lockd
Nenf
Slc38a2
Pllp
Pgrmc1
Snrpn
Ccl6
Rgs2
Brinp3
Crip1
Cnn3
Cks2
Clic6
Igfbp7
Rgs4
Spc25
Gja4
Wfdc1
Slc1a3
Sntn
Sox4
Hexb
Ank2
Ndufa4l2
Arhgap31
Cox6b2
Fcgr3
Tnr
Adgrf5
Aif1
Sox9
Acsbg1
Pitpnc1
Lmo4
2010111I01Rik
Cavin2
Phpt1
Fam213a
Dynll2
Gja1
Slc1a2
Cox20
Ifitm3
Tsc22d1
Emb
Hmgn1
Sept7
