epoch,loss,lr,train_balanced_accuracy,train_accuracy,valid_balanced_accuracy,valid_accuracy
0,0.9319643289861023,0.02,0.6541075845962072,0.9019339784503466,0.6590620002748268,0.9040419013736535
1,0.33119002009852466,0.02,0.772595883116284,0.9413739619792739,0.767725376652279,0.9404091313370886
2,0.2616859040522979,0.02,0.8325360143215513,0.9559261546908243,0.8332560946048302,0.9560480284613103
3,0.22791624144982484,0.02,0.8735089163434057,0.9616224006588429,0.8773515894023971,0.9619033501334124
4,0.21329305737705553,0.02,0.9000679039692815,0.9632118591723285,0.9060178026350009,0.9629410020753039
5,0.20331840646468988,0.02,0.9076441458473566,0.9677029716560291,0.9107032237977867,0.966572783871924
6,0.19565862720295538,0.02,0.9207659379142892,0.9692704687392767,0.9242543034271579,0.9680798497875284
7,0.18783429429187612,0.02,0.9310195299862575,0.971277194427287,0.9301594846468607,0.9696857396975985
8,0.1807871511427022,0.02,0.9412679612572562,0.9727842975773798,0.9456924672012491,0.9711680996145864
9,0.1737277135252953,0.02,0.9370831502907979,0.9710960126278224,0.9383104309148305,0.9702786836643936
10,0.17216012942588935,0.019,0.9469935686971178,0.9735117699540182,0.9431002799265874,0.9713904536021346
11,0.17003699227914973,0.019,0.9422724187627258,0.9727266488230045,0.9350781235320303,0.9701798596699279
12,0.1663086833590168,0.019,0.9468216881431677,0.9741486514309244,0.9456018951972801,0.9717363375827651
13,0.1641628639930385,0.019,0.9454771120702969,0.9729050854436895,0.9406565002213774,0.9713163356062853
14,0.16643242020223106,0.019,0.9509521546852787,0.9745878800356874,0.9478001259830252,0.971464571597984
15,0.16119261654251713,0.019,0.9493303626952198,0.9761004735433394,0.9410576421338598,0.9727739895246565
16,0.16081163508154578,0.019,0.9525098120691625,0.9754031981332784,0.9486575568793967,0.9720822215633955
17,0.16072643586134502,0.019,0.9627088068661026,0.9757545810170888,0.9477070136395795,0.9720575155647792
18,0.1595576151068937,0.019,0.9530628565589564,0.9759247821014343,0.9408667105087806,0.971835161577231
19,0.15706437062156406,0.019,0.9505752842402103,0.9745082698510741,0.9426496558499448,0.9720328095661627
20,0.15658450499176974,0.01805,0.9585363726247077,0.9768828494955734,0.9514068362259601,0.9727492835260402
21,0.1566672403428514,0.01805,0.9556509674494679,0.9769706952165259,0.9522717719853787,0.9737375234706986
22,0.15390767889507753,0.01805,0.9602442386070509,0.9771957998764669,0.948410028383223,0.9734163454886847
23,0.1530698542877779,0.01805,0.9559105708463823,0.9754333950998558,0.9441058330784626,0.9713904536021346
24,0.14936106538368485,0.01805,0.9648870257736389,0.9775416924027177,0.9533051187060702,0.9737375234706988
25,0.15111569327823193,0.01805,0.9657553555946059,0.9767153935900076,0.949163170830479,0.9724281055440261
26,0.1506617838295839,0.01805,0.960948108870121,0.9768718687804544,0.9526783653989589,0.9723786935467932
27,0.1514999822918642,0.01805,0.9628924606995337,0.9778518976048316,0.9504516089692286,0.9731692855025199
28,0.14937535130371482,0.01805,0.9673262095796034,0.9775911056207537,0.9510880060949866,0.9724281055440261
29,0.1496487753623623,0.01805,0.968837253107341,0.9787385903506965,0.9522890170516924,0.9736881114734657
30,0.14808006856148523,0.0171475,0.969163718983094,0.9791668382403405,0.9526074874528628,0.9731445795039035
31,0.1450688706995067,0.0171475,0.9571381631056145,0.9786452542721845,0.946363676270349,0.9726504595315743
32,0.14495989642405904,0.0171475,0.9640705807855309,0.9775197309724796,0.9487969010884468,0.9727245775274236
33,0.1440154987750418,0.0171475,0.9661455607425274,0.979040560016471,0.9499737807682886,0.9736881114734658
34,0.14379296868534416,0.0171475,0.9710670838948913,0.9791311509162034,0.9544713699958493,0.9729716375135883
