epoch,loss,lr,train_balanced_accuracy,train_logloss,train_accuracy,valid_balanced_accuracy,valid_logloss,valid_accuracy
0,1.8358533897466354,0.02,0.6273431270637199,0.8243651293088348,0.7346107833274422,0.6315862203498316,0.8226010723549175,0.7367249870002753
1,0.8758533096479622,0.02,0.8590561704849202,0.38685533757645,0.882112584627097,0.8588528063631969,0.39275621143033435,0.8812819257945126
2,0.6515459092236566,0.02,0.9010515477726483,0.26366771004860967,0.9221252277114658,0.8994688370686226,0.27224230978898467,0.9208852047838987
3,0.5622860792414238,0.02,0.925232575574755,0.21440434350299004,0.939549403192039,0.9221631389978655,0.2256282447344445,0.9367066344477412
4,0.5219570052540676,0.02,0.93232386267923,0.19815470769651036,0.9444265069740884,0.9273034554316314,0.21224940472891254,0.9406830208301471
5,0.5013354539040497,0.02,0.9389941602128129,0.1856440360834961,0.9479551850240627,0.9350928424728715,0.19905038042574813,0.9453705686232526
6,0.4853593201379743,0.02,0.9370491035580175,0.1779829318214115,0.9499009285189918,0.9331401693918953,0.19231821097126406,0.9467164224757593
7,0.471447349633074,0.02,0.9435689411519251,0.1600615855659525,0.9542699298512738,0.9386807506377413,0.17525085799318474,0.9507004557550546
8,0.46105098537451716,0.02,0.9433814056542241,0.15968327032004126,0.9541773158595939,0.9384198525546109,0.17513279769278203,0.9504404612608204
9,0.46167319711907817,0.02,0.9443799980398486,0.16076156555243243,0.9539699964653743,0.9402207522379662,0.17361866277471422,0.9511439757746307
10,0.4512040370017394,0.019,0.9469750311513752,0.1508035752306603,0.9573967141575356,0.9438175343902495,0.16431427517323374,0.9545086104058973
11,0.4508405181381345,0.019,0.9489527358765413,0.14888171630420474,0.9584418078251176,0.9445837753908202,0.1626976380223871,0.9546233138592359
12,0.44119573895939534,0.019,0.9500437048284605,0.1492400132808536,0.9578037059191387,0.9457319818987178,0.16376496644616342,0.9541950876334384
13,0.4347483751458158,0.019,0.9517765102395815,0.14143757699739154,0.9597256586639115,0.9475825482916087,0.15705079493712848,0.9560762242681919
14,0.43023980671105067,0.019,0.9499988029965196,0.1436425803087523,0.9590807594007449,0.945612960831369,0.15818502209525148,0.9551738904352614
15,0.4299042933078593,0.019,0.9513255405190124,0.14185639488249524,0.9603102313820386,0.9464166809571094,0.15785783967974548,0.95629798427798
16,0.43048561595458196,0.019,0.9520580170271449,0.1368024245289111,0.9614182006036053,0.9474240114422704,0.15384168684478033,0.9569020891322302
17,0.42390804620985373,0.019,0.9533667226458625,0.13857145388413739,0.9609262418771582,0.9480630728616839,0.15868924503628098,0.9564891567002111
18,0.42512769950391527,0.019,0.9518029130769778,0.1374319798013337,0.9613391813263004,0.9466860478910755,0.15307443452897587,0.9573150215642492
19,0.42529398161359777,0.019,0.9547962078748987,0.13765855540797592,0.9614385926751678,0.9491116934471435,0.1543212430918648,0.9563744532468724
20,0.4141717298728664,0.01805,0.9552804966473328,0.13339744515493965,0.9622338834661083,0.9497265582122927,0.15069299184098434,0.9576820726149329
21,0.41813113215908354,0.01805,0.956714727247543,0.13711209076678121,0.9621990470105224,0.9518165496343578,0.1520082368498094,0.9583397057474077
22,0.4157774520044959,0.01805,0.9561475291550539,0.124731109653762,0.9648083825008836,0.950914442512368,0.1414816759465814,0.9604884837732849
23,0.4134708531849893,0.01805,0.9536995465334652,0.1317990562758618,0.9629093708366188,0.9476703763038276,0.14993411897830955,0.9580644174593949
24,0.4145358877730286,0.01805,0.955712662670165,0.13039347124269923,0.9633715911253704,0.9494541848081435,0.14848699745610536,0.9587526381794269
25,0.4094918312096015,0.01805,0.955486033619075,0.1267790457724057,0.9641354441393186,0.9497396929263852,0.14356071967687734,0.9596932064968036
26,0.4083534033664012,0.01805,0.9575407892590304,0.12324379070964728,0.9653963538976046,0.9521323382642743,0.13960426004405857,0.9614902272657755
27,0.4037898048914268,0.01805,0.955067876610602,0.1287669988002647,0.9635840085374807,0.9491690168778322,0.14522175762879486,0.9590661609518857
28,0.40462638162569714,0.01805,0.958091864800583,0.13164768471660038,0.9639833532722478,0.9522252364967421,0.14671675155306493,0.9593414492398985
