epoch,loss,lr,train_mae,train_rmse,valid_mae,valid_rmse
37,0.07853582027283582,0.0171475,0.2338705,0.32009134,0.23483652,0.32184747
38,0.07851552805214215,0.0171475,0.23331165,0.3211339,0.2343715,0.32288095
39,0.07856287129900674,0.0171475,0.23347312,0.32121283,0.23467553,0.32310718
40,0.07844195650382475,0.016290125,0.23380747,0.31997058,0.23482515,0.32169688
41,0.0782483100439563,0.016290125,0.23362921,0.3200897,0.23494187,0.32222888
42,0.07810573460477771,0.016290125,0.23316747,0.31991363,0.23422943,0.32171538
43,0.07804277042547862,0.016290125,0.23265699,0.3199241,0.2339577,0.32221207
44,0.07820281115445224,0.016290125,0.23271558,0.31942275,0.23386548,0.3213624
45,0.07753573674144168,0.016290125,0.23269437,0.32070747,0.23405725,0.3230863
46,0.07818490605462683,0.016290125,0.2330067,0.32007444,0.23410691,0.32207903
47,0.07812444459308278,0.016290125,0.23248145,0.3200081,0.23359805,0.32190153
48,0.07788801441589992,0.016290125,0.23275453,0.31975433,0.23389423,0.32165372
49,0.07784415691187888,0.016290125,0.23277323,0.3192953,0.23415019,0.3217322
50,0.07755912840366364,0.015475618749999998,0.23316044,0.3187381,0.23433778,0.32084876
51,0.07739251468217734,0.015475618749999998,0.2320013,0.31918517,0.23316124,0.32125348
52,0.07771045579151674,0.015475618749999998,0.23211466,0.32008415,0.2332017,0.32203716
53,0.07726902108300816,0.015475618749999998,0.23201063,0.31885293,0.23320572,0.3209083
54,0.07717783749103548,0.015475618749999998,0.2319257,0.31922477,0.23330891,0.32151252
55,0.07731542713714368,0.015475618749999998,0.23220034,0.31846267,0.23367412,0.32097214
56,0.07699819880001472,0.015475618749999998,0.23211001,0.31906798,0.23341227,0.3213681
57,0.07697635392347972,0.015475618749999998,0.23164107,0.31805658,0.23309667,0.3206639
58,0.07696415800036804,0.015475618749999998,0.23237962,0.31812733,0.23348644,0.320128
59,0.07696861051248782,0.015475618749999998,0.23167334,0.318951,0.23287846,0.32103646
60,0.0768445332845052,0.014701837812499997,0.23187335,0.3185883,0.23335081,0.32117367
61,0.07694559070197021,0.014701837812499997,0.23170164,0.31856927,0.2330433,0.32109603
62,0.07695718899820789,0.014701837812499997,0.23258916,0.31777996,0.23389782,0.32009667
63,0.07734514524539313,0.014701837812499997,0.23237903,0.31837147,0.23386972,0.32090467
64,0.07694098534006061,0.014701837812499997,0.23229095,0.31786677,0.23368843,0.3203019
65,0.07666860791769896,0.014701837812499997,0.23133962,0.3174025,0.23270132,0.3199204
66,0.076801418355017,0.014701837812499997,0.23168634,0.31684145,0.2332284,0.3195396
67,0.07669184266617803,0.014701837812499997,0.23241732,0.31728902,0.23391123,0.3198534
68,0.07656984437595714,0.014701837812499997,0.23151435,0.3177536,0.23329422,0.32093143
69,0.0767556063153527,0.014701837812499997,0.23163147,0.31722584,0.23336247,0.3202513
70,0.0763399341341221,0.013966745921874996,0.2315277,0.31702074,0.2332731,0.31998488
71,0.07633341510187495,0.013966745921874996,0.23105437,0.31768966,0.23267008,0.32041514
72,0.0760883630225153,0.013966745921874996,0.23130573,0.31690332,0.2329914,0.31971174
73,0.07642163110501839,0.013966745921874996,0.23092015,0.3166967,0.23266761,0.31967404
74,0.07643254281896535,0.013966745921874996,0.23226708,0.3175478,0.23416042,0.3207106
75,0.07617147537794978,0.013966745921874996,0.23109944,0.31699947,0.23294777,0.32006493
76,0.07611713987408263,0.013966745921874996,0.23132487,0.31672063,0.2331234,0.31974956
