epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.24885681316194924,0.02,0.962664921882955,0.9307322066333424,0.9615335758939508,0.9208930986503889
1,0.24302783956335597,0.02,0.9625782203811035,0.9314136779712625,0.9614972825347282,0.9158834203646578
2,0.24091796172120847,0.02,0.9623448320360033,0.9354500842884026,0.9607850253599848,0.9238003061000133
3,0.23941527524085576,0.02,0.9635823447513834,0.9317900630409091,0.962173246350249,0.9206953515544452
4,0.2377702088272276,0.02,0.9643278768516064,0.9277219576186322,0.9628174534764502,0.9228779197834968
5,0.2366762145091433,0.02,0.9618321842023815,0.9362063614162512,0.9600999882046583,0.923791352445889
6,0.23640299209755314,0.02,0.9634003724131952,0.937620603192101,0.961633382631813,0.9276358231576501
7,0.23599600510225316,0.02,0.962605944698556,0.9435912490989719,0.9609801021658062,0.9320823059249659
8,0.23530694822326673,0.02,0.9642381508787601,0.9427000262457665,0.9625452532822807,0.9313774273697158
9,0.23500644033851703,0.02,0.9642134510323024,0.9373704660464742,0.9623138831172366,0.92524399135712
10,0.23433161770139843,0.02,0.9638046433695027,0.9375473329259448,0.9617422627094807,0.92541834335764
11,0.23383892538441606,0.02,0.9618639411478271,0.9411164935882848,0.9600183281464074,0.9289526292788768
12,0.23335121261063685,0.02,0.9629406528219826,0.9403711024507774,0.9610526888842514,0.9248413666032398
13,0.23182364808749562,0.02,0.9624239723603678,0.9389627162837393,0.9601272082240753,0.922174554406342
14,0.23351345249751876,0.02,0.963536473607962,0.9147531566826513,0.9613702557774492,0.8954142837351935
15,0.2320741906700548,0.02,0.9636761033522228,0.9361601089933068,0.9616288459619101,0.9209557970174904
16,0.23097006117632568,0.02,0.9632899792218843,0.9377187290191282,0.9604357017774673,0.923664901610985
17,0.23141648557252628,0.02,0.9628862123440759,0.9334170382343503,0.961138885612405,0.9148284539849201
