epoch,loss,lr,train_balanced_accuracy,train_logloss,train_accuracy,valid_balanced_accuracy,valid_logloss,valid_accuracy
0,1.094646208477716,0.02,0.841202973344703,0.3296010357540499,0.9033810244710263,0.8383847303136941,0.33463568672128907,0.9013305187743875
1,0.3762488080202228,0.02,0.9565027871846656,0.11207700598798895,0.9706568014954121,0.9547178449969738,0.1161559354930137,0.9697434913324379
2,0.2869933188831721,0.02,0.9772528118996655,0.06183500473800639,0.9837452113406824,0.9765235333754538,0.066301229051556,0.9831126463250816
3,0.2547229301102839,0.02,0.985509348889827,0.04398764582041162,0.9889336659630269,0.9843969235307997,0.046382736564741886,0.9878462227339602
4,0.23133649606339252,0.02,0.9878240154317037,0.040352805814766066,0.9902592095069547,0.9866909530565058,0.044174012225299916,0.9893494530800231
5,0.2152530416084902,0.02,0.9871604300935015,0.032512383937547545,0.990934419355068,0.9864725531152299,0.03662603826226822,0.9897332565726349
6,0.20568441702936688,0.02,0.99111781369462,0.02991002319536888,0.9922421942187822,0.9887227671496144,0.03501890063411812,0.9904049126847054
7,0.19855845289943866,0.02,0.9900042116358572,0.030131675792803035,0.992256409162953,0.9867203651902288,0.03528312031775651,0.9899891255677093
8,0.19572662230390703,0.02,0.9896008261503086,0.029167187265626934,0.9919010355586828,0.9873475542857741,0.03546357631110072,0.9898931746945564
9,0.19127292311104543,0.02,0.9907295843157606,0.028302510678538065,0.9925158318940702,0.9883764339468644,0.03559845695369441,0.990468879933474
10,0.18919670744969028,0.019,0.9927102699778603,0.023810173801428865,0.9942607162910367,0.9888795274637519,0.030905596324783173,0.9908846670504702
11,0.18355602776482158,0.019,0.9935373725215751,0.021974129510704522,0.9946018749511361,0.9910482187532785,0.0298702524880312,0.9923239301477643
12,0.18139932288305605,0.019,0.9928794415041131,0.022582986437761864,0.9944099732048303,0.988995716310831,0.02996395812781599,0.9913644214162349
13,0.17776987739723096,0.019,0.9953512522801655,0.01920867473069566,0.9956502270837331,0.992708879479812,0.026041927195948455,0.9933154225036782
14,0.1758516078447773,0.019,0.9937621662528231,0.021584545060399127,0.9947013795603318,0.9904064124521232,0.028719384393904854,0.9918441757819996
15,0.17232418016795695,0.019,0.9941333109462352,0.020755151265606342,0.9948222065857837,0.991547390060896,0.026980289446355527,0.992387897396533
16,0.17416137163221398,0.019,0.9945128616792231,0.018886900310874963,0.9953446057840608,0.9917494176434871,0.025063544183114385,0.9927077336403761
17,0.1726702716011201,0.019,0.9946827172794951,0.017992163784109335,0.9954583253374272,0.9920131583790108,0.025249720911170913,0.9929636026354507
18,0.17026663234416592,0.019,0.9955706865121461,0.01829091201797071,0.9957248555406298,0.993353317933272,0.024909770786956883,0.9936672423719055
19,0.1670733576055861,0.019,0.9943694251541653,0.019725985232410485,0.9950141083320896,0.9927148087247459,0.02545604663957493,0.9931235207573722
20,0.16832180767163743,0.01805,0.9938287042158918,0.018923582777324883,0.9950354307483458,0.9917673705231218,0.024603333572253965,0.9931555043817566
21,0.16479020195938374,0.01805,0.9950120359035601,0.0171831428609934,0.9958634512462952,0.9922607202663949,0.023124792174098453,0.9938271604938271
22,0.16616471622982165,0.01805,0.9954578182824282,0.01741985026778744,0.9956253509314342,0.9928566389108573,0.024249339647881524,0.9931874880061409
23,0.16367461238681835,0.01805,0.9950537343916059,0.016181631107459286,0.9960589067286438,0.9922121177176202,0.023394908963450006,0.9935393078743684
24,0.16355595389639374,0.01805,0.9960949014140101,0.016912623929314897,0.9961975024343093,0.9934489255670146,0.023247287088987025,0.9938271604938271
25,0.1616922059524668,0.01805,0.9948013697228901,0.017089649248322264,0.9958670049823379,0.9911363305612908,0.024573883446234297,0.9932194716305252
