epoch,loss,lr,train_balanced_accuracy,train_accuracy,valid_balanced_accuracy,valid_accuracy
0,1.4091587638232255,0.02,0.8673249349427019,0.8737509334984791,0.8656127905213508,0.8727910560309499
1,0.556413820208009,0.02,0.9334835011255409,0.9368402518472644,0.931883437128401,0.9353354534823994
2,0.44300872510048883,0.02,0.9488131080487721,0.950169699398311,0.9460426715130285,0.947422488880146
3,0.3997368722486852,0.02,0.9568355089064436,0.9584306296788765,0.95341514302469,0.9550834398872169
4,0.3739458725078782,0.02,0.960203082542014,0.9620128352246163,0.9561461708953103,0.9579576625902977
5,0.35598264334361956,0.02,0.9630732087643453,0.9637444369562181,0.9585450396081477,0.9590177371233729
6,0.35354599267689146,0.02,0.9634367215703397,0.9654031802699405,0.9588296114156826,0.9611269575860901
7,0.3390880819799296,0.02,0.9658660080864165,0.9671092815552843,0.9607886546235109,0.9621433177054305
8,0.3332608842582846,0.02,0.9661803841673254,0.9683697321845989,0.9602444731700368,0.9630613203938668
9,0.32669975808752133,0.02,0.9684465260692353,0.9690436725499838,0.9623932764149492,0.9635421789449526
10,0.3227487387719439,0.019,0.9683801161326531,0.9696629691019593,0.9629594061575423,0.964558539064293
11,0.32096593771407844,0.019,0.9695997700542177,0.9710011353770119,0.9648550037705482,0.9665475448892386
12,0.31782238407811114,0.019,0.9711903178023004,0.9719980813949958,0.9656476909686788,0.9667005453373113
13,0.31246253314302935,0.019,0.968771830514659,0.9705943425438517,0.9635802056467512,0.965640470804236
14,0.3161592910538859,0.019,0.9710514403189112,0.9722360855600686,0.9654327101857586,0.9668863315956854
15,0.3093059804679742,0.019,0.9694789844421065,0.9702907658026872,0.9640746442764366,0.9648973257707398
16,0.30408469676526617,0.019,0.971030486566927,0.9711407806779476,0.9653736853686445,0.9656513994076698
17,0.3102971284803171,0.019,0.9712919408862163,0.9723295871963473,0.9652838523994397,0.9666568309235762
18,0.3066329641907073,0.019,0.9716596701687976,0.9733836056416701,0.9658643174238888,0.9679245489218933
