epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.40380994269342146,0.02,0.9757540540092737,0.9209992635457702,0.9753797158255757,0.9228357178079742
1,0.22249974704149997,0.02,0.9767191816002064,0.9160888243073073,0.9752412500266281,0.907261381733077
2,0.20644664814977934,0.02,0.9781121370564023,0.9251667592493347,0.9769507700828663,0.9247874103551735
3,0.20065959433714553,0.02,0.9782109576006608,0.9380266321406285,0.9774194235562277,0.9337599919953805
4,0.1965063967126789,0.02,0.9777109374815081,0.9320690538352628,0.9761892081886543,0.9248429929533186
5,0.19340569068085056,0.02,0.9777890471332574,0.9459810594679731,0.9761785569733507,0.9423473739363553
6,0.19267936450062376,0.02,0.9766842689528336,0.93344235581589,0.9751666915195023,0.927641128480616
7,0.18995341953003048,0.02,0.9785470657990973,0.9441917302804967,0.9763489764182093,0.9348194718855772
8,0.1882973471012983,0.02,0.9792719470369222,0.9449881506425608,0.9779147050678483,0.9365239639854146
9,0.18805902327551985,0.02,0.9792601122412026,0.9394595361999932,0.9778827514219373,0.9335405675499706
10,0.18579932725790788,0.019,0.9799122094853521,0.9444845451498427,0.9783141256417358,0.9390318613158283
11,0.1836124045740475,0.019,0.9782565215641813,0.9466122989284402,0.9764288605329868,0.9413987579989529
12,0.18408601829499915,0.019,0.9793879280349742,0.944350354232725,0.9773288882261466,0.9324262649627413
13,0.1845345079537594,0.019,0.9785162953302263,0.9399650446006627,0.9760933472509213,0.9307252290602597
14,0.18248578002958593,0.019,0.9793169192606566,0.9549962127294982,0.9768495835374816,0.9473177288451811
15,0.1808044308965855,0.019,0.9793891115145461,0.933297016101455,0.977158468781288,0.9276964610878344
16,0.18036524740132445,0.019,0.9774150675885184,0.9500889610962795,0.9746820612231856,0.9395386806016099
17,0.18101811697988807,0.019,0.979279047914354,0.9477478444484349,0.976934793259911,0.9367772172569167
18,0.1792551774599335,0.019,0.9793399971123098,0.9492940482645156,0.9768975140063481,0.9400936342745029
19,0.17868153656973976,0.019,0.9789624671288548,0.9478991692011097,0.9770785846665104,0.938076351355329
20,0.17825919219038688,0.01805,0.9790991590194161,0.948672093639442,0.9767590482074004,0.9407504961088817
21,0.1788758198781447,0.01805,0.9775724703715889,0.9341947159279061,0.9753317853567092,0.9232414576832689
22,0.17782041778167101,0.01805,0.9794624872480076,0.9434989593388678,0.9773608418720576,0.9390990356328195
23,0.17720340067690077,0.01805,0.979223424374472,0.9322149056512555,0.9772756321496283,0.9238882918514959
24,0.17570976306091668,0.01805,0.9792630709401324,0.9452852954779549,0.9774194235562277,0.9379822513145888
